"","track_name","artist_name","album_name","artist_genres","track_popularity","artist_popularity","mood_danceability","mood_valence","mood_energy","mood_tempo","prop_loudness","prop_speechiness","prop_instrumentalness","context_liveness","context_acousticness"
"1","Happy - From Despicable Me 2","Pharrell Williams","G I R L","['hip hop', 'pop rap']","79","86","0.647","0.962","0.822","160.019","-4.662","0.183","0.0","0.0908","0.219"
"2","Dark Horse","Katy Perry","PRISM","['dance pop', 'pop', 'post-teen pop']","73","88","0.647","0.353","0.585","131.934","-6.123","0.0512","0.0","0.165","0.00314"
"3","Maps","Maroon 5","Maps","['pop', 'pop rock']","0","90","0.737","0.893","0.723","120.003","-5.51","0.0295","0.0","0.0675","0.0179"
"4","Fancy","Iggy Azalea","The New Classic (Deluxe Version)","['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop']","69","75","0.912","0.377","0.716","94.981","-4.141","0.0697","0.0","0.0491","0.0904"
"5","Style","Taylor Swift","1989 (Deluxe Edition)","['pop']","61","98","0.588","0.487","0.791","94.933","-5.595","0.0402","0.00258","0.118","0.00245"
"6","Stay With Me","Sam Smith","In The Lonely Hour","['dance pop', 'pop', 'uk pop']","80","86","0.418","0.184","0.42","84.094","-6.444","0.0414","6.39e-05","0.11","0.588"
"7","Rude","MAGIC!","Don't Kill the Magic","['reggae fusion']","79","71","0.773","0.925","0.758","144.033","-4.993","0.0381","0.0","0.305","0.0422"
"8","Chandelier","Sia","1000 Forms Of Fear","['australian dance', 'australian pop', 'pop']","77","88","0.399","0.572","0.787","117.089","-2.88","0.0499","6.07e-05","0.0685","0.0197"
"9","All of Me","John Legend","Love In The Future (Expanded Edition)","['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']","84","81","0.422","0.331","0.264","119.93","-7.064","0.0322","0.0","0.132","0.922"
"10","Steal My Girl","One Direction","FOUR (Deluxe)","['boy band', 'pop', 'post-teen pop', 'talent show']","78","89","0.536","0.545","0.768","77.217","-5.948","0.0347","0.0","0.114","0.00433"
"11","All About That Bass","Meghan Trainor","Title (Deluxe)","['dance pop', 'hip pop', 'pop', 'post-teen pop']","72","80","0.807","0.961","0.887","134.052","-3.726","0.0503","2.87e-06","0.124","0.0573"
"12","Classic","MKTO","MKTO","['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop']","81","72","0.72","0.756","0.791","102.071","-4.689","0.124","0.0","0.157","0.0384"
"13","Shower","Becky G","Shower","['dance pop', 'latin', 'latin viral pop', 'pop', 'rap latina', 'reggaeton']","77","86","0.699","0.121","0.529","119.987","-7.548","0.0487","3.59e-05","0.285","0.0317"
"14","She Looks So Perfect","5 Seconds of Summer","5 Seconds Of Summer","['boy band', 'dance pop', 'pop', 'post-teen pop']","73","84","0.494","0.441","0.951","160.025","-4.237","0.132","0.0","0.327","0.000569"
