"","track_name","artist_name","album_name","artist_genres","track_popularity","artist_popularity","mood_danceability","mood_valence","mood_energy","mood_tempo","prop_loudness","prop_speechiness","prop_instrumentalness","context_liveness","context_acousticness"
"59","Just Give Me a Reason (feat. Nate Ruess)","P!nk","The Truth About Love","['dance pop', 'pop']","79","84","0.778","0.441","0.547","95.002","-7.273","0.0489","0.000302","0.132","0.346"
"60","Hold On, We're Going Home","Drake","Nothing Was The Same (Deluxe)","['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']","72","98","0.773","0.289","0.414","99.993","-7.436","0.0961","3.4e-05","0.0733","0.00411"
"61","Let Her Go","Passenger","All The Little Lights","['folk-pop', 'neo mellow', 'pop', 'pop rock']","73","76","0.509","0.244","0.538","75.089","-7.335","0.0572","0.0","0.104","0.385"
"62","Holy Grail","JAY-Z","Magna Carta... Holy Grail","['east coast hip hop', 'hip hop', 'rap']","62","88","0.676","0.156","0.534","145.082","-6.901","0.0831","8.59e-06","0.256","0.0594"
"63","Chocolate","The 1975","The 1975","['modern alternative rock', 'modern rock', 'pop', 'rock']","64","78","0.614","0.607","0.938","100.058","-4.461","0.0611","0.0","0.368","0.000532"
"64","A Thousand Years","Christina Perri","Autumn Acoustic","['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']","51","75","0.423","0.161","0.407","139.048","-7.45","0.0267","0.000961","0.11","0.312"
"65","Love Me","Lil Wayne","I Am Not A Human Being II (Deluxe)","['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']","67","91","0.669","0.496","0.634","124.906","-6.476","0.0327","0.0","0.0946","0.0125"
"66","Sweet Nothing (feat. Florence Welch)","Calvin Harris","18 Months","['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']","70","87","0.573","0.582","0.929","127.934","-3.942","0.109","0.000112","0.0567","0.197"
"67","3005","Childish Gambino","3005","['atl hip hop', 'hip hop', 'rap']","0","82","0.681","0.661","0.463","82.92","-6.542","0.289","0.0","0.0769","0.128"
"68","Ho Hey","The Lumineers","The Lumineers (Deluxe Edition)","['folk-pop', 'pop', 'pop rock', 'stomp and holler']","74","81","0.682","0.421","0.471","79.907","-9.182","0.0301","0.0","0.0908","0.765"
"69","Do I Wanna Know?","Arctic Monkeys","AM","['garage rock', 'permanent wave', 'rock', 'sheffield indie']","83","88","0.548","0.405","0.532","85.03","-7.596","0.0323","0.000263","0.217","0.186"
"70","All I Want","Kodaline","In A Perfect World","['irish pop', 'modern rock', 'pop', 'pop rock']","0","75","0.209","0.162","0.412","86.26","-9.733","0.0443","0.15","0.0843","0.172"
"71","Work B**ch","Britney Spears","Work B**ch","['dance pop', 'pop', 'post-teen pop']","0","84","0.63","0.85","0.816","128.012","-6.535","0.15","0.00111","0.0616","0.124"
"72","It's a Beautiful Day","Michael Bubl??","To Be Loved","['adult standards', 'canadian pop', 'jazz pop', 'lounge']","65","78","0.532","0.78","0.795","143.837","-3.979","0.0358","0.0","0.295","0.0559"
"73","human","Christina Perri","human","['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']","59","75","0.439","0.253","0.489","143.808","-6.286","0.0368","0.000643","0.114","0.132"
"74","My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy","Save Rock And Roll","['emo', 'modern rock', 'rock']","71","82","0.558","0.567","0.924","151.99","-4.341","0.064","3.32e-06","0.537","0.0271"
"75","Wings","Birdy","Wings","['pop', 'pop rock']","48","73","0.474","0.224","0.707","83.235","-4.534","0.0253","0.0","0.162","0.0831"
"76","Don't Stop the Party (feat. TJR)","Pitbull","Global Warming: Meltdown (Deluxe Version)","['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']","64","87","0.722","0.952","0.958","127.008","-3.617","0.0912","0.0","0.375","0.00726"
"77","White Noise","Disclosure","Settle (Special Edition)","['edm', 'house', 'pop', 'uk dance']","54","78","0.665","0.902","0.844","119.978","-6.164","0.0501","0.000215","0.311","0.00963"
