"","track_name","artist_name","album_name","artist_genres","track_popularity","artist_popularity","mood_danceability","mood_valence","mood_energy","mood_tempo","prop_loudness","prop_speechiness","prop_instrumentalness","context_liveness","context_acousticness"
"1","good 4 u","Olivia Rodrigo","good 4 u","['pop']","30","91","0.556","0.668","0.661","168.56","-5.052","0.204","0.0","0.101","0.3"
"2","Leave The Door Open","Bruno Mars","Leave The Door Open","['dance pop', 'pop']","68","92","0.586","0.719","0.616","148.088","-7.964","0.0324","0.0","0.0927","0.182"
"3","Beggin'","M??neskin","Chosen","['indie rock italiano', 'italian pop']","86","82","0.714","0.589","0.8","134.002","-4.808","0.0504","0.0","0.359","0.127"
"4","Kiss Me More (feat. SZA)","Doja Cat","Kiss Me More (feat. SZA)","['dance pop', 'pop']","83","94","0.762","0.742","0.701","110.968","-3.541","0.0286","0.000158","0.123","0.235"
"5","34+35","Ariana Grande","Positions","['dance pop', 'pop']","81","93","0.83","0.485","0.585","109.978","-6.476","0.094","0.0","0.248","0.237"
"6","MONEY","LISA","LALISA","['k-pop']","82","77","0.831","0.396","0.554","140.026","-9.998","0.218","6.12e-05","0.152","0.161"
"7","MONTERO (Call Me By Your Name)","Lil Nas X","MONTERO (Call Me By Your Name)","['lgbtq+ hip hop', 'pop']","80","89","0.61","0.758","0.508","178.818","-6.682","0.152","0.0","0.384","0.297"
"8","Astronaut In The Ocean","Masked Wolf","Astronaut In The Ocean","['australian hip hop']","80","75","0.778","0.472","0.695","149.996","-6.865","0.0913","0.0","0.15","0.175"
"9","Bad Habits","Ed Sheeran","Bad Habits","['pop', 'uk pop']","38","96","0.808","0.591","0.897","126.026","-3.712","0.0348","3.14e-05","0.364","0.0469"
"10","telepat??a","Kali Uchis","Sin Miedo (del Amor y Otros Demonios) ???","['colombian pop', 'dance pop', 'pop', 'r&b']","82","85","0.653","0.553","0.524","83.97","-9.016","0.0502","0.0","0.203","0.112"
"11","Good Days","SZA","Good Days","['pop', 'r&b']","81","87","0.436","0.412","0.655","121.002","-8.37","0.0583","8.1e-06","0.688","0.499"
"12","Woman","Doja Cat","Planet Her","['dance pop', 'pop']","91","94","0.824","0.881","0.764","107.998","-4.175","0.0854","0.00294","0.117","0.0888"
"13","drivers license","Olivia Rodrigo","drivers license","['pop']","30","91","0.585","0.132","0.436","143.874","-8.761","0.0601","1.31e-05","0.105","0.721"
"14","Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber","Justice","['canadian pop', 'pop']","86","96","0.677","0.464","0.696","90.03","-6.181","0.119","0.0","0.42","0.321"
"15","STAY (with Justin Bieber)","The Kid LAROI","STAY (with Justin Bieber)","['australian hip hop']","90","89","0.591","0.478","0.764","169.928","-5.484","0.0483","0.0","0.103","0.0383"
"16","Levitating (feat. DaBaby)","Dua Lipa","Levitating (feat. DaBaby)","['dance pop', 'pop', 'uk pop']","79","94","0.702","0.915","0.825","102.977","-3.787","0.0601","0.0","0.0674","0.00883"
"17","Heat Waves","Glass Animals","Dreamland","['gauze pop', 'indietronica', 'shiver pop']","86","87","0.761","0.531","0.525","80.87","-6.9","0.0944","6.7e-06","0.0921","0.44"
"18","Butter","BTS","Butter","['k-pop', 'k-pop boy group']","10","96","0.759","0.695","0.459","109.997","-5.187","0.0948","0.0","0.0906","0.00323"
"19","Save Your Tears (with Ariana Grande) (Remix)","The Weeknd","Save Your Tears (Remix)","['canadian contemporary r&b', 'canadian pop', 'pop']","85","97","0.65","0.593","0.825","118.091","-4.645","0.0325","2.44e-05","0.0936","0.0215"
"20","Easy On Me","Adele","Easy On Me","['british soul', 'pop', 'pop soul', 'uk pop']","88","90","0.604","0.13","0.366","141.981","-7.519","0.0282","0.0","0.133","0.578"
"21","Happier Than Ever","Billie Eilish","Happier Than Ever","['art pop', 'electropop', 'pop']","88","93","0.332","0.297","0.225","81.055","-8.697","0.0348","0.00349","0.128","0.767"
"22","Heartbreak Anniversary","Giveon","TAKE TIME","['pop', 'r&b']","81","83","0.449","0.543","0.465","89.087","-8.964","0.0791","1.02e-06","0.303","0.524"
"23","deja vu","Olivia Rodrigo","deja vu","['pop']","22","91","0.439","0.172","0.61","181.088","-7.236","0.116","1.07e-05","0.341","0.593"
"24","Up","Cardi B","Up","['dance pop', 'pop', 'pop rap', 'rap']","74","86","0.868","0.819","0.795","166.0","-6.044","0.269","0.0193","0.0461","0.0012"
"25","Todo De Ti","Rauw Alejandro","Todo De Ti","['puerto rican pop', 'trap latino']","83","93","0.78","0.342","0.718","127.949","-3.605","0.0506","0.000163","0.0932","0.31"
"26","positions","Ariana Grande","Positions","['dance pop', 'pop']","84","93","0.737","0.682","0.802","144.015","-4.771","0.0878","0.0","0.0931","0.468"
"27","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift","Red (Taylor's Version)","['pop']","83","98","0.631","0.205","0.518","93.023","-8.771","0.0303","0.0","0.088","0.274"
"28","My Universe","Coldplay","My Universe","['permanent wave', 'pop']","86","92","0.588","0.443","0.701","104.988","-6.39","0.0402","0.0","0.2","0.00813"
"29","Shivers","Ed Sheeran","Shivers","['pop', 'uk pop']","13","96","0.788","0.822","0.859","141.02","-2.724","0.0856","0.0","0.0424","0.281"
"30","Streets","Doja Cat","Hot Pink","['dance pop', 'pop']","83","94","0.749","0.189","0.463","90.035","-8.433","0.0842","0.0382","0.338","0.21"
"31","Anyone","Justin Bieber","Anyone","['canadian pop', 'pop']","76","96","0.686","0.584","0.538","115.884","-8.026","0.0345","3.13e-06","0.113","0.181"
"32","Solar Power","Lorde","Solar Power","['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop']","5","82","0.735","0.897","0.47","87.971","-9.405","0.1","0.000105","0.32","0.266"
"33","Shivers","Ed Sheeran","Shivers","['pop', 'uk pop']","79","96","0.788","0.822","0.859","141.02","-2.724","0.0856","0.0","0.0424","0.281"
"34","WITHOUT YOU (with Miley Cyrus)","The Kid LAROI","WITHOUT YOU (with Miley Cyrus)","['australian hip hop']","75","89","0.655","0.467","0.469","92.56","-6.257","0.0292","0.0","0.0956","0.173"
"35","Calling My Phone","Lil Tjay","Destined 2 Win","['brooklyn drill', 'melodic rap', 'nyc rap']","80","87","0.907","0.202","0.393","104.949","-7.636","0.0539","1.35e-06","0.135","0.451"
"36","Girls Want Girls (with Lil Baby)","Drake","Certified Lover Boy","['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']","80","98","0.767","0.381","0.438","86.975","-8.726","0.29","0.0","0.142","0.181"
"37","Baila Conmigo (with Rauw Alejandro)","Selena Gomez","Revelaci??n - EP","['dance pop', 'pop', 'post-teen pop']","76","86","0.823","0.664","0.544","149.903","-7.132","0.0715","0.00315","0.0966","0.0215"
"38","love nwantiti (ah ah ah)","CKay","CKay The First","['afro r&b']","86","81","0.727","0.533","0.739","93.005","-3.805","0.0411","0.00137","0.161","0.365"
"39","We're Good","Dua Lipa","Future Nostalgia (The Moonlight Edition)","['dance pop', 'pop', 'uk pop']","77","94","0.722","0.59","0.588","134.01","-5.932","0.0544","0.0","0.183","0.0319"
"40","D??KITI","Bad Bunny","EL ??LTIMO TOUR DEL MUNDO","['latin', 'reggaeton', 'trap latino']","82","100","0.731","0.145","0.573","109.928","-10.059","0.0544","5.22e-05","0.113","0.401"
"41","willow","Taylor Swift","evermore","['pop']","76","98","0.392","0.529","0.574","81.112","-9.195","0.17","0.00179","0.145","0.833"
"42","Mood (feat. iann dior)","24kGoldn","El Dorado","['cali rap', 'pop rap']","84","81","0.701","0.732","0.716","91.007","-3.671","0.0361","0.0","0.324","0.174"
"43","BICHOTA","KAROL G","BICHOTA","['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']","76","91","0.863","0.838","0.666","163.908","-4.158","0.152","0.000493","0.103","0.212"
"44","Hold On","Justin Bieber","Hold On","['canadian pop', 'pop']","76","96","0.658","0.29","0.634","139.98","-5.797","0.0413","0.0","0.132","0.0106"
"45","Love Story (Taylor???s Version)","Taylor Swift","Love Story (Taylor???s Version)","['pop']","72","98","0.626","0.416","0.79","119.082","-4.302","0.0311","3.97e-06","0.0989","0.135"
"46","Whoopty","CJ","Whoopty","['nyc rap']","75","70","0.719","0.66","0.648","140.201","-7.6","0.125","0.0","0.127","0.2"
"47","Bandido","Myke Towers","Bandido","['latin', 'reggaeton', 'trap latino']","76","90","0.713","0.682","0.617","168.021","-4.637","0.0887","0.0","0.0962","0.122"
"48","Afterglow","Ed Sheeran","Afterglow","['pop', 'uk pop']","76","96","0.641","0.273","0.324","110.184","-5.851","0.0299","0.0","0.328","0.698"
"49","GIRL LIKE ME","Black Eyed Peas","TRANSLATION","['dance pop', 'pop', 'pop rap']","76","84","0.965","0.312","0.485","124.025","-8.784","0.191","0.0237","0.0655","0.0206"
"50","Prisoner (feat. Dua Lipa)","Miley Cyrus","Prisoner (feat. Dua Lipa)","['dance pop', 'pop', 'post-teen pop']","64","87","0.781","0.595","0.67","127.99","-3.912","0.0452","0.0","0.0761","0.0103"
