"","track_name","artist_name","album_name","artist_genres","track_popularity","artist_popularity","mood_danceability","mood_valence","mood_energy","mood_tempo","prop_loudness","prop_speechiness","prop_instrumentalness","context_liveness","context_acousticness"
"1","Heat Waves","Glass Animals","Dreamland (+ Bonus Levels)","['gauze pop', 'indietronica', 'shiver pop']","96","87","0.761","0.531","0.525","80.87","-6.9","0.0944","6.7e-06","0.0921","0.44"
"2","Envolver","Anitta","Envolver","['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']","97","87","0.813","0.397","0.733","91.988","-5.417","0.0847","0.00186","0.0909","0.15"
"3","STAY (with Justin Bieber)","The Kid LAROI","F*CK LOVE 3: OVER YOU","['australian hip hop']","94","88","0.591","0.478","0.764","169.928","-5.484","0.0483","0.0","0.103","0.0383"
"4","Plan A","Paulo Londra","Plan A","['argentine hip hop', 'trap argentino', 'trap latino']","92","85","0.583","0.557","0.834","173.935","-4.875","0.0444","0.0","0.0658","0.0495"
"5","Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons","Mercury - Act 1","['modern rock', 'rock']","90","92","0.728","0.555","0.783","77.011","-4.424","0.266","0.0","0.434","0.237"
"6","Cold Heart - PNAU Remix","Elton John","The Lockdown Sessions","['glam rock', 'mellow gold', 'piano rock']","79","88","0.795","0.934","0.8","116.032","-6.32","0.0309","7.25e-05","0.0915","0.0354"
"7","abcdefu","GAYLE","abcdefu","['modern alternative pop']","100","83","0.695","0.415","0.54","121.932","-5.692","0.0493","0.0","0.367","0.299"
"8","INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X","MONTERO","['lgbtq+ hip hop', 'pop']","91","89","0.741","0.892","0.691","150.087","-7.395","0.0672","0.0","0.0476","0.0221"
"9","MAMIII","Becky G","MAMIII","['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton']","98","86","0.843","0.899","0.7","93.991","-3.563","0.0803","0.0","0.14","0.0934"
"10","Desesperados","Rauw Alejandro","VICE VERSA","['puerto rican pop', 'trap latino']","92","94","0.869","0.511","0.694","90.02","-3.35","0.0783","0.00125","0.0878","0.356"
"11","Ghost","Justin Bieber","Justice","['canadian pop', 'pop']","94","96","0.601","0.441","0.741","153.96","-5.569","0.0478","2.91e-05","0.415","0.185"
"12","Shivers","Ed Sheeran","=","['pop', 'uk pop']","96","96","0.788","0.822","0.859","141.02","-2.724","0.0856","0.0","0.0424","0.281"
"13","MIDDLE OF THE NIGHT","Elley Duh??","MIDDLE OF THE NIGHT","['alt z', 'pop']","96","80","0.41","0.0899","0.611","185.727","-8.271","0.0467","0.0","0.116","0.0228"
"14","Woman","Doja Cat","Planet Her","['dance pop', 'pop']","97","94","0.824","0.881","0.764","107.998","-4.175","0.0854","0.00294","0.117","0.0888"
"15","Una Noche en Medell??n","Cris Mj","Una Noche en Medell??n","['mambo chileno']","94","81","0.87","0.832","0.548","96.018","-5.253","0.077","4.6e-05","0.0534","0.0924"
"16","Bam Bam (feat. Ed Sheeran)","Camila Cabello","Bam Bam (feat. Ed Sheeran)","['dance pop', 'pop', 'post-teen pop']","95","87","0.756","0.956","0.697","94.996","-6.377","0.0401","0.0","0.333","0.182"
"17","Easy On Me","Adele","30","['british soul', 'pop', 'pop soul', 'uk pop']","91","91","0.604","0.13","0.366","141.981","-7.519","0.0282","0.0","0.133","0.578"
"18","THATS WHAT I WANT","Lil Nas X","MONTERO","['lgbtq+ hip hop', 'pop']","97","89","0.737","0.546","0.846","87.981","-4.51","0.22","0.0","0.0486","0.00614"
"19","Where Are You Now","Lost Frequencies","Where Are You Now","['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']","96","82","0.671","0.262","0.636","120.966","-8.117","0.103","0.000411","0.172","0.515"
"20","Bad Habits","Ed Sheeran","=","['pop', 'uk pop']","96","96","0.807","0.537","0.893","126.011","-3.745","0.0347","2.79e-05","0.366","0.0451"
"21","Pepas","Farruko","La 167","['latin', 'latin hip hop', 'reggaeton', 'trap latino']","87","90","0.762","0.442","0.766","130.001","-3.955","0.0343","6.98e-05","0.128","0.00776"
