,Rank,track_popularity,context_liveness,context_acousticness
937,38,75,0.222,0.45
938,39,74,0.154,0.367
939,40,80,0.064,0.193
940,41,65,0.319,0.0169
941,42,4,0.353,0.0737
942,43,71,0.0599,0.0516
943,44,1,0.325,0.318
944,45,75,0.0995,0.443
945,46,78,0.0658,0.0204
946,47,78,0.0955,0.271
947,48,78,0.104,0.223
948,49,0,0.11,0.675
949,50,72,0.156,0.0623
950,51,1,0.111,0.447
951,52,66,0.165,0.435
952,53,71,0.123,0.342
953,54,71,0.119,0.272
954,55,64,0.121,0.289
955,56,70,0.0642,0.157
956,57,79,0.135,0.331
957,58,72,0.442,0.256
958,59,57,0.0689,0.0856
959,60,72,0.11,0.00534
960,61,63,0.361,0.132
961,62,78,0.186,0.946
962,63,51,0.0673,0.156
963,64,52,0.153,0.328
964,65,67,0.113,0.456
965,66,78,0.103,0.136
966,67,69,0.248,0.17
967,68,68,0.214,0.00485
968,69,75,0.101,0.0151
969,70,80,0.0897,0.978
970,71,66,0.179,0.0507
971,72,69,0.0717,0.162
972,73,63,0.123,0.11
973,74,70,0.0645,0.108
974,75,77,0.099,0.0141
975,76,63,0.0669,0.214
976,77,73,0.582,0.0644
977,78,57,0.0523,0.077
978,79,63,0.32,0.0547
979,80,75,0.111,0.0153
980,81,71,0.142,0.0131
981,82,68,0.121,0.251
982,83,66,0.162,0.219
983,84,63,0.297,0.128
984,85,59,0.156,0.269
985,86,71,0.0672,0.000677
986,87,73,0.148,0.407
987,88,61,0.101,0.0107
988,89,78,0.149,0.692
989,90,69,0.102,0.0939
990,91,77,0.0698,0.15
991,92,80,0.106,0.177
992,93,67,0.126,0.201
993,94,80,0.795,0.23
994,95,75,0.101,0.0578
995,96,66,0.0976,0.247
996,97,56,0.104,0.389
997,98,81,0.124,0.00513
998,99,79,0.0937,0.404
999,100,78,0.0574,0.11
1000,1,17,0.0938,0.00147
1001,2,88,0.335,0.122
1002,3,67,0.349,0.167
1003,4,80,0.0904,0.264
1004,5,10,0.094,0.468
1005,6,80,0.79,0.104
1006,7,75,0.102,0.3
1007,8,74,0.323,0.021
1008,9,80,0.101,0.247
1009,10,80,0.0824,0.0194
1010,11,82,0.696,0.731
1011,12,0,0.0936,0.0112
1012,13,12,0.272,0.221
1013,14,48,0.25,0.537
1014,15,59,0.285,0.0149
1015,16,81,0.133,0.65
1016,17,73,0.114,0.321
1017,18,63,0.17,0.688
1018,19,75,0.132,0.207
1019,20,56,0.111,0.25
1020,21,63,0.16,0.0173
1021,22,73,0.0828,0.0676
1022,23,72,0.15,0.067
1023,24,79,0.0952,0.0125
1024,25,3,0.0887,0.123
1025,26,82,0.382,0.223
1026,27,81,0.113,0.401
1027,28,84,0.0863,0.192
1028,29,68,0.127,0.016
1029,30,83,0.0906,0.785
1030,31,62,0.203,0.00115
1031,32,69,0.116,0.366
1032,33,81,0.0885,0.604
1033,34,73,0.109,0.143
1034,35,84,0.102,0.0237
1035,36,1,0.0544,0.0694
1036,37,71,0.0996,0.749
1037,38,78,0.46,0.0522
1038,39,80,0.193,0.114
1039,40,74,0.134,0.057
1040,41,32,0.0822,0.837
1041,42,75,0.055,0.218
1042,43,64,0.154,0.0546
1043,44,77,0.0714,0.183
1044,45,81,0.248,0.237
1045,46,64,0.0761,0.0103
1046,47,79,0.0674,0.00883
1047,48,76,0.157,0.233
1048,49,76,0.185,0.0631
1049,50,78,0.129,0.223
1050,51,81,0.0489,0.168
1051,52,77,0.269,0.234
1052,53,77,0.11,0.0563
1053,54,80,0.107,0.244
1054,55,83,0.292,0.145
1055,56,75,0.0898,0.196
1056,57,78,0.0736,0.00285
1057,58,63,0.123,0.291
1058,59,64,0.103,0.208
1059,60,1,0.152,0.00391
1060,61,17,0.372,0.137
1061,62,69,0.0823,0.193
1062,63,77,0.0574,0.295
1063,64,81,0.106,0.902
1064,65,76,0.0541,0.00776
1065,66,84,0.105,0.751
1066,67,80,0.106,0.177
1067,68,75,0.116,0.864
1068,69,76,0.173,0.00536
1069,70,77,0.393,0.0686
1070,71,74,0.102,0.0137
1071,72,76,0.0626,0.185
1072,73,78,0.109,0.866
1073,74,44,0.792,0.0259
1074,75,66,0.489,0.0604
1075,76,0,0.267,0.00336
1076,77,79,0.224,0.612
1077,78,72,0.281,0.145
1078,79,79,0.0685,0.533
1079,80,64,0.0411,0.0342
1080,81,83,0.1,0.328
1081,82,77,0.25,0.316
1082,83,72,0.149,0.131
1083,84,71,0.115,0.192
1084,85,70,0.216,0.0902
1085,86,70,0.0773,0.00839
1086,87,72,0.0873,0.00559
1087,88,31,0.275,0.00146
1088,89,84,0.322,0.584
1089,90,80,0.107,0.0103
1090,91,81,0.21,0.0546
1091,92,79,0.0876,0.0332
1092,93,75,0.112,0.853
1093,94,71,0.352,0.795
1094,95,78,0.0828,0.0392
1095,96,62,0.282,0.00346
1096,97,75,0.0832,0.12
1097,98,83,0.149,0.0847
1098,99,78,0.0848,0.487
1099,100,78,0.166,0.0681
1100,1,30,0.101,0.3
1101,2,68,0.0927,0.182
1102,3,86,0.359,0.127
1103,4,83,0.123,0.235
1104,5,81,0.248,0.237
1105,6,82,0.152,0.161
1106,7,80,0.384,0.297
1107,8,80,0.15,0.175
1108,9,38,0.364,0.0469
1109,10,82,0.203,0.112
1110,11,81,0.688,0.499
1111,12,91,0.117,0.0888
1112,13,30,0.105,0.721
1113,14,86,0.42,0.321
1114,15,90,0.103,0.0383
1115,16,79,0.0674,0.00883
1116,17,86,0.0921,0.44
1117,18,10,0.0906,0.00323
1118,19,85,0.0936,0.0215
1119,20,88,0.133,0.578
1120,21,88,0.128,0.767
1121,22,81,0.303,0.524
1122,23,22,0.341,0.593
1123,24,74,0.0461,0.0012
1124,25,83,0.0932,0.31
1125,26,84,0.0931,0.468
1126,27,83,0.088,0.274
1127,28,86,0.2,0.00813
1128,29,13,0.0424,0.281
1129,30,83,0.338,0.21
1130,31,76,0.113,0.181
1131,32,5,0.32,0.266
1132,33,79,0.0424,0.281
1133,34,75,0.0956,0.173
1134,35,80,0.135,0.451
1135,36,80,0.142,0.181
1136,37,76,0.0966,0.0215
1137,38,86,0.161,0.365
1138,39,77,0.183,0.0319
1139,40,82,0.113,0.401
1140,41,76,0.145,0.833
1141,42,84,0.324,0.174
1142,43,76,0.103,0.212
1143,44,76,0.132,0.0106
1144,45,72,0.0989,0.135
1145,46,75,0.127,0.2
1146,47,76,0.0962,0.122
1147,48,76,0.328,0.698
1148,49,76,0.0655,0.0206
1149,50,64,0.0761,0.0103
1150,51,89,0.0897,0.00146
1151,52,82,0.0866,0.0303
1152,53,33,0.154,0.0377
1153,54,75,0.055,0.218
1154,55,66,0.124,0.0251
1155,56,83,0.112,0.414
1156,57,77,0.111,0.256
1157,58,88,0.335,0.122
1158,59,4,0.0577,0.705
1159,60,64,0.0994,0.0206
1160,61,27,0.134,0.655
1161,62,38,0.0936,0.0112
1162,63,81,0.0489,0.168
1163,64,87,0.543,0.0212
1164,65,73,0.107,0.0166
1165,66,76,0.0684,0.00302
1166,67,69,0.227,0.205
1167,68,75,0.162,0.0136
1168,69,69,0.131,0.0174
1169,70,70,0.0975,0.127
1170,71,61,0.101,0.22
1171,72,76,0.1,0.36
1172,73,77,0.214,0.0622
1173,74,7,0.232,0.937
1174,75,89,0.135,0.276
1175,76,77,0.347,0.217
1176,77,72,0.0926,0.304
1177,78,85,0.0845,0.0164
1178,79,83,0.178,0.00165
1179,80,36,0.337,0.00544
1180,81,79,0.0998,0.0904
1181,82,83,0.215,0.0503
1182,83,88,0.0926,0.304
1183,84,20,0.109,0.0466
1184,85,88,0.128,0.00776
1185,86,91,0.0486,0.00614
1186,87,62,0.063,0.00397
1187,88,74,0.418,0.13
1188,89,57,0.17,0.037
1189,90,70,0.156,0.0021
1190,91,90,0.0952,0.034
1191,92,83,0.118,0.00226
1192,93,64,0.199,0.00727
1193,94,70,0.128,0.815
1194,1,96,0.0921,0.44
1195,2,97,0.0909,0.15
1196,3,94,0.103,0.0383
1197,4,92,0.0658,0.0495
1198,5,90,0.434,0.237
1199,6,79,0.0915,0.0354
1200,7,100,0.367,0.299
1201,8,91,0.0476,0.0221
1202,9,98,0.14,0.0934
1203,10,92,0.0878,0.356
1204,11,94,0.415,0.185
1205,12,96,0.0424,0.281
1206,13,96,0.116,0.0228
1207,14,97,0.117,0.0888
1208,15,94,0.0534,0.0924
1209,16,95,0.333,0.182
1210,17,91,0.133,0.578
1211,18,97,0.0486,0.00614
1212,19,96,0.172,0.515
1213,20,96,0.366,0.0451
1214,21,87,0.128,0.00776
1215,22,96,0.0901,0.0301
1216,23,96,0.0849,0.335
1217,24,96,0.194,0.232
1218,25,96,0.304,0.148
1219,26,86,0.108,0.0789
1220,27,89,0.328,0.0114
1221,28,95,0.0897,0.00146
1222,29,96,0.115,0.583
1223,30,59,0.09,0.717
1224,31,95,0.0865,0.0889
1225,32,94,0.0926,0.304
1226,33,94,0.101,0.0495
1227,34,94,0.0864,0.0157
1228,35,95,0.135,0.276
1229,36,89,0.12,0.259
1230,37,95,0.0703,0.0209
1231,38,83,0.0881,0.105
1232,39,94,0.12,0.691
1233,40,62,0.11,0.823
1234,41,95,0.111,0.357
1235,42,87,0.14,0.00425
1236,43,90,0.0674,0.00883
1237,44,91,0.0979,0.341
1238,45,84,0.19,0.0515
1239,46,92,0.0964,0.0423
1240,47,93,0.106,0.768
1241,48,86,0.128,0.252
1242,49,92,0.543,0.0212
1243,50,93,0.286,0.0484
