,Rank,track_popularity,context_liveness,context_acousticness
213,14,0,0.0969,0.0629
214,15,73,0.0744,0.000417
215,16,79,0.204,0.000972
216,17,63,0.126,0.0358
217,18,74,0.121,0.00957
218,19,77,0.0922,0.0884
219,20,74,0.112,0.046
220,21,73,0.082,0.337
221,22,79,0.313,0.00301
222,23,66,0.473,0.0662
223,24,74,0.0418,0.0117
224,25,82,0.0833,0.0509
225,26,76,0.262,0.0991
226,27,73,0.0844,0.0558
227,28,70,0.223,0.00201
228,29,74,0.335,0.0124
229,30,76,0.0801,0.00107
230,31,76,0.0944,0.00144
231,32,76,0.105,0.135
232,33,50,0.108,0.0142
233,34,0,0.285,0.000673
234,35,67,0.361,0.0811
235,36,79,0.127,0.0679
236,37,68,0.0694,0.0368
237,38,74,0.109,0.00125
238,39,76,0.116,0.112
239,40,78,0.123,0.0654
240,41,77,0.29,0.0208
241,42,64,0.0527,0.00765
242,43,69,0.368,0.248
243,44,56,0.107,0.607
244,45,68,0.498,0.244
245,46,63,0.0241,0.0403
246,47,0,0.167,0.617
247,48,1,0.205,0.788
248,49,68,0.114,0.129
249,50,51,0.172,0.00828
250,51,74,0.0895,0.0159
251,52,70,0.207,0.000624
252,53,75,0.0888,0.0267
253,54,63,0.167,0.0272
254,55,65,0.392,0.0749
255,56,70,0.11,0.309
256,57,74,0.084,0.0841
257,58,66,0.282,0.000145
258,59,75,0.11,0.135
259,60,77,0.115,0.0525
260,61,0,0.102,0.00657
261,62,67,0.181,0.255
262,63,70,0.0927,0.0178
263,64,65,0.575,0.0488
264,65,66,0.179,0.00117
265,66,47,0.0986,0.0034
266,67,68,0.142,0.000284
267,68,70,0.144,0.0162
268,69,75,0.306,0.0588
269,70,63,0.156,0.000238
270,71,0,0.0664,0.0022
271,72,61,0.148,0.134
272,73,0,0.097,0.186
273,74,0,0.0868,0.0158
274,75,74,0.0908,0.765
275,76,77,0.309,0.0462
276,77,67,0.0966,0.00225
277,78,74,0.114,0.417
278,79,62,0.131,0.0297
279,80,62,0.144,0.0548
280,81,62,0.145,0.00473
281,82,70,0.115,0.694
282,83,65,0.294,0.00777
283,84,66,0.287,0.00385
284,85,68,0.104,0.227
285,86,57,0.117,0.0256
286,87,64,0.219,0.0403
287,88,57,0.224,0.00656
288,89,72,0.091,0.00417
289,90,60,0.105,0.0932
290,91,0,0.853,0.357
291,92,63,0.0283,0.0909
292,93,45,0.652,0.027
293,94,56,0.0887,0.806
294,95,67,0.191,0.1
295,96,0,0.174,0.00234
296,97,66,0.344,0.0841
297,98,65,0.0926,0.822
298,99,63,0.24,0.00173
299,100,55,0.228,0.0593
300,1,77,0.132,0.121
301,2,55,0.0783,0.00412
302,3,76,0.668,0.106
303,4,6,0.161,0.0038
304,5,85,0.309,0.049
305,6,1,0.0457,0.0619
306,7,83,0.101,0.0426
307,8,72,0.0682,0.000688
308,9,79,0.239,0.0738
309,10,76,0.0789,0.0227
310,11,79,0.0561,0.0098
311,12,77,0.341,0.039
312,13,76,0.0335,0.00454
313,14,89,0.101,0.0495
314,15,71,0.108,0.00144
315,16,77,0.0946,0.234
316,17,0,0.209,0.00357
317,18,0,0.0751,0.0366
318,19,68,0.0477,0.00215
319,20,72,0.107,0.00351
320,21,74,0.271,0.0755
321,22,0,0.0889,0.000189
322,23,0,0.247,0.162
323,24,84,0.104,0.0483
324,25,77,0.37,0.00882
325,26,81,0.0862,0.0291
326,27,50,0.136,0.0525
327,28,65,0.076,0.294
328,29,78,0.324,0.0412
329,30,75,0.12,0.0525
330,31,0,0.415,0.015
331,32,78,0.131,0.019
332,33,58,0.111,0.112
333,34,72,0.354,0.00487
334,35,68,0.153,0.00952
335,36,66,0.311,0.36
336,37,83,0.088,0.932
337,38,88,0.0944,0.695
338,39,70,0.105,0.31
339,40,68,0.0748,0.00112
340,41,72,0.021,0.154
341,42,66,0.255,0.00242
342,43,80,0.269,0.19
343,44,79,0.146,0.0206
344,45,69,0.0809,0.0101
345,46,72,0.13,0.0157
346,47,76,0.0944,0.00144
347,48,77,0.107,0.407
348,49,60,0.147,0.0203
349,50,75,0.117,0.945
350,51,65,0.586,0.025
351,52,68,0.331,0.173
352,53,61,0.213,0.0059
353,54,70,0.237,0.41
354,55,56,0.307,0.0348
355,56,73,0.103,0.00453
356,57,67,0.316,0.332
357,58,60,0.315,0.00616
358,59,79,0.132,0.346
359,60,72,0.0733,0.00411
360,61,73,0.104,0.385
361,62,62,0.256,0.0594
362,63,64,0.368,0.000532
363,64,51,0.11,0.312
364,65,67,0.0946,0.0125
365,66,70,0.0567,0.197
366,67,0,0.0769,0.128
367,68,74,0.0908,0.765
368,69,83,0.217,0.186
369,70,0,0.0843,0.172
370,71,0,0.0616,0.124
371,72,65,0.295,0.0559
372,73,59,0.114,0.132
373,74,71,0.537,0.0271
374,75,48,0.162,0.0831
375,76,64,0.375,0.00726
376,77,54,0.311,0.00963
377,78,56,0.698,0.136
378,79,65,0.0958,0.00262
379,80,59,0.119,0.00627
380,81,57,0.0536,0.0191
381,82,0,0.0636,0.0241
382,83,0,0.111,0.0466
383,84,66,0.0632,0.0391
384,85,67,0.0631,0.0736
385,86,67,0.164,0.103
386,87,0,0.426,0.322
387,88,57,0.117,0.0256
388,89,61,0.0525,0.0469
389,90,65,0.427,0.00264
390,91,27,0.354,0.00176
391,92,53,0.197,0.0119
392,93,0,0.124,0.181
393,94,0,0.296,0.0205
394,95,61,0.089,0.0192
395,96,0,0.0714,0.00137
396,97,63,0.119,0.107
397,98,63,0.602,0.0143
398,99,60,0.0974,0.934
399,100,0,0.263,0.00304
400,1,79,0.0908,0.219
401,2,73,0.165,0.00314
402,3,0,0.0675,0.0179
