Rank,track_name,artist_name,album_name,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
27,Whatcha Say,Jason Derulo,Jason Derulo (International),"['dance pop', 'pop', 'pop rap', 'post-teen pop']",70,85,0.615,0.711,0.711,144.036,-5.507,0.0779,0.0,0.145,0.0444
28,Like A G6,Far East Movement,Free Wired,"['asian american hip hop', 'dance pop', 'pop rap']",73,70,0.435,0.778,0.837,124.913,-8.126,0.449,0.0,0.117,0.00676
29,Your Love Is My Drug,Kesha,Animal (Expanded Edition),"['dance pop', 'electropop', 'pop', 'post-teen pop']",69,82,0.826,0.756,0.612,120.057,-3.891,0.0982,0.0,0.0889,0.00681
30,"Hey, Soul Sister",Train,"Save Me, San Francisco (Golden Gate Edition)","['dance pop', 'neo mellow', 'pop', 'pop rock']",81,77,0.673,0.795,0.886,97.012,-4.44,0.0431,0.0,0.0826,0.185
31,Fireflies,Owl City,Ocean Eyes,"['indietronica', 'modern rock', 'pop', 'pop rock']",78,74,0.512,0.472,0.662,180.114,-6.797,0.0439,0.0,0.118,0.0275
32,OMG (feat. will.i.am),Usher,Raymond v Raymond (Expanded Edition),"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",72,83,0.781,0.326,0.745,129.998,-5.81,0.0332,1.14e-05,0.36,0.198
33,Just A Dream,Nelly,5.0,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']",72,79,0.531,0.103,0.752,89.917,-6.161,0.0305,0.0,0.12,0.0421
34,In My Head,Jason Derulo,Jason Derulo (International),"['dance pop', 'pop', 'pop rap', 'post-teen pop']",65,85,0.762,0.851,0.748,110.009,-4.15,0.033,0.0,0.348,0.0266
35,Forget You,CeeLo Green,The Lady Killer (Deluxe),['atl hip hop'],57,69,0.696,0.772,0.875,127.39,-3.682,0.0649,0.0,0.159,0.134
36,Te Amo,Rihanna,Rated R,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",67,92,0.567,0.751,0.707,171.917,-5.455,0.0818,0.000176,0.1,0.541
37,Higher,The Saturdays,Headlines,"['bubblegum dance', 'dance pop', 'electropop', 'europop', 'girl group', 'pop', 'post-teen pop', 'uk pop']",61,62,0.639,0.596,0.862,117.011,-3.292,0.0341,6.81e-06,0.264,0.049
38,If We Ever Meet Again (Featuring Katy Perry),Timbaland,Shock Value II,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'urban contemporary']",68,81,0.652,0.394,0.605,126.091,-7.371,0.0393,0.0,0.0605,0.00481
39,Do You Remember,Jay Sean,All Or Nothing,"['dance pop', 'pop rap', 'post-teen pop', 'urban contemporary']",2,70,0.855,0.803,0.668,125.846,-4.892,0.0644,0.0,0.102,0.0242
40,Telephone,Lady Gaga,The Fame Monster (Deluxe Edition),"['art pop', 'dance pop', 'pop']",69,88,0.824,0.716,0.836,122.014,-5.903,0.0404,0.000817,0.112,0.00521
41,Back To December,Taylor Swift,Speak Now,['pop'],65,98,0.529,0.286,0.67,141.893,-4.663,0.0303,0.0,0.334,0.117
42,Animal,Neon Trees,Habits (Spotify),"['modern alternative rock', 'modern rock', 'pop rock', 'rock']",64,71,0.482,0.739,0.829,147.99,-5.576,0.0437,0.0,0.378,0.00034
43,All Time Low,The Wanted,The Wanted,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",18,71,0.689,0.783,0.615,134.036,-5.022,0.0563,0.0,0.0789,0.352
44,Rude Boy,Rihanna,Rated R,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",74,92,0.563,0.812,0.75,173.906,-4.496,0.127,0.0,0.0788,0.113
45,This Ain't a Love Song,Scouting For Girls,Ten Add Ten: The Very Best of Scouting For Girls,"['dance pop', 'modern rock', 'pop rock']",52,62,0.458,0.553,0.905,176.667,-4.157,0.0451,0.0,0.378,0.000431
46,Impossible,Shontelle,No Gravity,"['barbadian pop', 'dance pop', 'post-teen pop', 'urban contemporary']",34,61,0.599,0.539,0.624,90.034,-3.631,0.0343,0.0,0.125,0.385
47,Gold Dust - Radio Edit,DJ Fresh,Gold Dust,"['dancefloor dnb', 'drum and bass', 'house', 'pop dance', 'uk dance']",63,64,0.451,0.295,0.948,176.985,-0.74,0.147,0.0,0.392,0.255
48,Magic (feat. Rivers Cuomo),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'pop rock', 'rap', 'southern hip hop']",65,77,0.549,0.787,0.932,82.439,-4.11,0.343,0.0,0.347,0.0127
49,I Like It,Enrique Iglesias,Euphoria,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",63,81,0.648,0.73,0.942,129.007,-2.881,0.0878,0.0,0.0594,0.021
50,Bottoms Up (feat. Nicki Minaj),Trey Songz,"Passion, Pain & Pleasure","['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",0,76,0.845,0.329,0.601,74.008,-5.283,0.161,0.0,0.385,0.0205
51,Danza Kuduro (feat. Don Omar),Lucenzo,Emigrante Del Mundo,"['francoton', 'french pop', 'reggaeton']",0,71,0.622,0.773,0.942,130.003,-6.365,0.112,0.0,0.0715,0.00713
52,Imma Be,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],"['dance pop', 'pop', 'pop rap']",61,84,0.597,0.412,0.517,92.035,-6.963,0.365,0.0,0.307,0.179
53,Take It Off,Kesha,Animal (Expanded Edition),"['dance pop', 'electropop', 'pop', 'post-teen pop']",68,82,0.729,0.74,0.675,125.036,-5.292,0.0286,0.00126,0.0867,4.14e-05
54,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",57,71,0.76,0.361,0.595,131.497,-6.366,0.0391,0.0,0.241,0.00544
55,BedRock,Young Money,We Are Young Money,"['dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",70,68,0.733,0.557,0.664,148.005,-6.163,0.295,0.0,0.191,0.102
56,Not Afraid,Eminem,Recovery,"['detroit hip hop', 'hip hop', 'rap']",78,95,0.855,0.668,0.954,114.635,-1.19,0.264,0.0,0.205,0.529
57,If I Die Young,The Band Perry,The Band Perry,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",64,63,0.606,0.362,0.497,130.739,-6.611,0.0277,0.0,0.275,0.348
58,My First Kiss (feat. Ke$ha),3OH!3,Streets Of Gold,"['dance pop', 'electropowerpop', 'modern rock', 'pop', 'pop punk', 'pop rap']",62,68,0.682,0.827,0.889,138.021,-4.166,0.0804,0.0,0.36,0.00564
