,track_name,artist_name,album_name,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
1,We Found Love,Rihanna,Talk That Talk,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",75,92,0.735,0.6,0.766,127.985,-4.485,0.0383,0.00138,0.108,0.025
2,Call Me Maybe,Carly Rae Jepsen,Kiss,"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",78,75,0.783,0.66,0.58,120.021,-6.548,0.0408,2.28e-06,0.108,0.0114
3,We Are Young (feat. Janelle Monáe),fun.,Some Nights,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",75,72,0.378,0.735,0.638,184.086,-5.576,0.075,7.66e-05,0.0849,0.02
4,Payphone,Maroon 5,Overexposed Track By Track,"['pop', 'pop rock']",82,90,0.743,0.545,0.752,110.015,-4.813,0.0414,0.0,0.287,0.0188
5,The One That Got Away,Katy Perry,Teenage Dream: The Complete Confection,"['dance pop', 'pop', 'post-teen pop']",72,88,0.687,0.864,0.792,133.962,-4.023,0.0353,0.0,0.2,0.000802
6,What Makes You Beautiful,One Direction,Up All Night,"['boy band', 'pop', 'post-teen pop', 'talent show']",82,89,0.726,0.888,0.787,124.99,-2.494,0.0737,0.0,0.0596,0.009
7,Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,"['dance pop', 'pop']",85,92,0.726,0.867,0.698,143.994,-4.165,0.0431,0.0,0.309,0.049
8,Troublemaker (feat. Flo Rida),Olly Murs,Right Place Right Time,"['dance pop', 'neo mellow', 'pop', 'pop dance', 'pop rock', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']",0,71,0.762,0.965,0.863,106.008,-3.689,0.0565,0.0,0.125,0.015
9,Starships,Nicki Minaj,Pink Friday: Roman Reloaded The Re-Up (Explicit Version),"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']",75,90,0.747,0.751,0.716,125.008,-2.457,0.075,0.0,0.251,0.135
10,Good Time,Owl City,The Midsummer Station,"['indietronica', 'modern rock', 'pop', 'pop rock']",77,74,0.56,0.682,0.872,126.05,-4.269,0.14,6.98e-06,0.371,0.0239
11,Give Your Heart a Break,Demi Lovato,Unbroken,"['dance pop', 'pop', 'post-teen pop']",71,85,0.651,0.569,0.695,123.008,-3.218,0.0487,0.0,0.144,0.23
12,I Knew You Were Trouble.,Taylor Swift,Red (Deluxe Edition),['pop'],59,98,0.622,0.679,0.469,77.019,-6.798,0.0363,2.25e-06,0.0335,0.00454
13,Die Young,Kesha,Warrior (Expanded Edition),"['dance pop', 'electropop', 'pop', 'post-teen pop']",77,82,0.711,0.801,0.7,128.001,-4.805,0.046,0.000125,0.215,0.00498
14,Live While We're Young,One Direction,Take Me Home: Yearbook Edition,"['boy band', 'pop', 'post-teen pop', 'talent show']",0,89,0.658,0.936,0.837,126.015,-2.063,0.0543,0.0,0.0969,0.0629
15,Part Of Me,Katy Perry,Teenage Dream: The Complete Confection,"['dance pop', 'pop', 'post-teen pop']",73,88,0.678,0.769,0.918,130.028,-4.63,0.0355,0.0,0.0744,0.000417
16,Feel So Close - Radio Edit,Calvin Harris,18 Months,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']",79,87,0.707,0.919,0.924,127.937,-2.842,0.031,0.00703,0.204,0.000972
17,Boyfriend,Justin Bieber,Believe (Deluxe Edition),"['canadian pop', 'pop']",63,96,0.717,0.331,0.55,96.979,-6.019,0.0519,0.00198,0.126,0.0358
18,We Are Never Ever Getting Back Together,Taylor Swift,Red (Big Machine Radio Release Special),['pop'],74,98,0.628,0.75,0.676,85.984,-5.911,0.0916,2.65e-05,0.121,0.00957
19,Primadonna,MARINA,Electra Heart (Deluxe),"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",77,79,0.66,0.427,0.689,127.98,-2.671,0.0337,0.0,0.0922,0.0884
20,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']",74,77,0.562,0.684,0.939,116.044,-4.282,0.0475,0.0,0.112,0.046
21,It Will Rain,Bruno Mars,It Will Rain,"['dance pop', 'pop']",73,92,0.576,0.476,0.835,150.017,-6.826,0.0486,0.0,0.082,0.337
22,Everybody Talks,Neon Trees,Picture Show,"['modern alternative rock', 'modern rock', 'pop rock', 'rock']",79,71,0.471,0.725,0.924,154.961,-3.906,0.0586,0.0,0.313,0.00301
23,Want U Back,Cher Lloyd,Sticks & Stones,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'social media pop', 'talent show', 'viral pop']",66,67,0.696,0.573,0.893,97.954,-2.963,0.076,0.0,0.473,0.0662
24,Domino,Jessie J,Who You Are (Platinum Edition),"['dance pop', 'pop', 'pop rap', 'post-teen pop']",74,76,0.758,0.781,0.557,126.986,-4.568,0.034,0.0,0.0418,0.0117
25,Paradise,Coldplay,Mylo Xyloto,"['permanent wave', 'pop']",82,92,0.449,0.212,0.585,139.631,-6.761,0.0268,8.75e-05,0.0833,0.0509
26,Wild Ones (feat. Sia),Flo Rida,Wild Ones,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",76,83,0.608,0.437,0.86,127.075,-5.324,0.0554,0.0,0.262,0.0991
27,One More Night,Maroon 5,Overexposed Track By Track,"['pop', 'pop rock']",73,90,0.716,0.618,0.821,92.997,-3.435,0.0314,0.0,0.0844,0.0558
28,Where Have You Been,Rihanna,Talk That Talk,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",70,92,0.719,0.444,0.847,127.963,-6.34,0.0916,0.0204,0.223,0.00201
29,International Love (feat. Chris Brown),Pitbull,Planet Pit (Deluxe Version),"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",74,87,0.67,0.648,0.855,120.05,-3.035,0.0499,0.0,0.335,0.0124
30,Drive By,Train,California 37,"['dance pop', 'neo mellow', 'pop', 'pop rock']",76,77,0.765,0.721,0.837,122.028,-3.113,0.032,1.06e-05,0.0801,0.00107
31,Try,P!nk,The Truth About Love,"['dance pop', 'pop']",76,84,0.674,0.552,0.628,103.998,-7.079,0.03,0.0,0.0944,0.00144
32,Girl on Fire,Alicia Keys,Girl on Fire (Remixes) - EP,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",76,83,0.482,0.144,0.706,92.513,-5.762,0.0607,0.00106,0.105,0.135
33,How to Be a Heartbreaker,MARINA,How to Be a Heartbreaker,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",50,79,0.69,0.849,0.897,140.05,-4.696,0.0506,0.0,0.108,0.0142
34,Wings,Little Mix,DNA: The Deluxe Edition,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",0,84,0.738,0.538,0.875,114.962,-3.141,0.127,0.000556,0.285,0.000673
35,As Long As You Love Me,Justin Bieber,Believe (Deluxe Edition),"['canadian pop', 'pop']",67,96,0.571,0.613,0.873,139.691,-3.382,0.1,0.0,0.361,0.0811
36,Titanium (feat. Sia),David Guetta,Nothing but the Beat (Ultimate Edition),"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",79,91,0.604,0.301,0.787,126.062,-3.674,0.103,0.15,0.127,0.0679
37,Candy,Robbie Williams,Take The Crown (Deluxe Edition),"['dance pop', 'dance rock', 'europop']",68,75,0.715,0.879,0.791,116.043,-6.63,0.0414,0.0,0.0694,0.0368
38,Diamonds,Rihanna,Unapologetic (Deluxe),"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",74,92,0.564,0.393,0.71,91.972,-4.92,0.0461,0.0,0.109,0.00125
