,track_name,artist_name,album_name,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
1,Starboy,The Weeknd,Starboy,"['canadian contemporary r&b', 'canadian pop', 'pop']",0,97,0.681,0.535,0.594,186.054,-7.028,0.282,3.49e-06,0.134,0.165
2,One Dance,Drake,Views,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",84,98,0.792,0.37,0.625,103.967,-5.609,0.0536,0.0018,0.329,0.00776
3,Love Yourself,Justin Bieber,Purpose (Deluxe),"['canadian pop', 'pop']",0,96,0.609,0.515,0.378,100.418,-9.828,0.438,0.0,0.28,0.835
4,Closer,The Chainsmokers,Closer,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",83,86,0.748,0.661,0.524,95.01,-5.599,0.0338,0.0,0.111,0.414
5,Hello,Adele,Hello,"['british soul', 'pop', 'pop soul', 'uk pop']",1,90,0.471,0.289,0.431,157.98,-6.129,0.0342,0.0,0.0854,0.329
6,Panda,Desiigner,New English,"['pop rap', 'rap', 'trap', 'viral trap']",70,69,0.576,0.236,0.766,144.833,-4.943,0.449,1.68e-06,0.366,0.028
7,Hurts So Good,Astrid S,Hurts So Good,"['alt z', 'dance pop', 'electropop', 'norwegian pop', 'pop', 'post-teen pop', 'tropical house']",0,73,0.672,0.379,0.589,120.036,-5.008,0.049,0.0,0.0962,0.082
8,Cheap Thrills (feat. Sean Paul),Sia,Cheap Thrills (feat. Sean Paul),"['australian dance', 'australian pop', 'pop']",67,88,0.592,0.728,0.8,89.972,-4.931,0.215,2.01e-06,0.0775,0.0561
9,Into You,Ariana Grande,Dangerous Woman,"['dance pop', 'pop']",3,93,0.623,0.37,0.734,107.853,-5.948,0.107,1.75e-06,0.145,0.0162
10,Work,Rihanna,ANTI (Deluxe),"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",75,92,0.725,0.558,0.534,91.974,-6.238,0.0946,0.0,0.0919,0.0752
11,Wait a Minute!,WILLOW,ARDIPITHECUS,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'post-teen pop']",86,84,0.764,0.672,0.705,101.003,-5.279,0.0278,1.94e-05,0.0943,0.0371
12,Sorry,Justin Bieber,Purpose (Deluxe),"['canadian pop', 'pop']",80,96,0.654,0.41,0.76,99.945,-3.669,0.045,0.0,0.299,0.0797
13,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","['dance pop', 'pop']",76,83,0.666,0.702,0.83,113.03,-5.715,0.0751,0.0,0.191,0.0123
14,PILLOWTALK,ZAYN,PILLOWTALK,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",59,81,0.588,0.429,0.702,124.909,-4.271,0.0496,0.0,0.089,0.104
15,I Know What You Did Last Summer,Shawn Mendes,Handwritten,"['canadian pop', 'dance pop', 'pop', 'viral pop']",73,90,0.687,0.743,0.761,113.939,-4.582,0.0876,0.0,0.147,0.102
16,Never Forget You,MNEK,Never Forget You,"['tropical house', 'uk contemporary r&b', 'uk dance']",45,78,0.583,0.276,0.732,145.992,-5.728,0.0457,9.86e-06,0.269,0.00312
17,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Nine Track Mind,"['dance pop', 'pop', 'viral pop']",79,86,0.728,0.352,0.563,100.017,-8.053,0.134,0.0,0.179,0.621
18,Wherever I Go,OneRepublic,Oh My My (Deluxe),"['dance pop', 'piano rock', 'pop', 'pop rock']",70,86,0.552,0.349,0.689,99.961,-6.444,0.0425,0.0,0.27,0.0915
19,Shout Out to My Ex,Little Mix,Glory Days: The Platinum Edition,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",1,84,0.773,0.8,0.747,126.014,-4.061,0.0889,8.23e-06,0.11,0.0239
20,Needed Me,Rihanna,ANTI (Deluxe),"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",79,92,0.671,0.296,0.314,110.898,-8.091,0.244,0.0,0.0825,0.11
21,Treat You Better,Shawn Mendes,Illuminate,"['canadian pop', 'dance pop', 'pop', 'viral pop']",82,90,0.444,0.747,0.819,82.695,-4.078,0.341,0.0,0.107,0.106
22,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,All My Friends (feat. Tinashe & Chance the Rapper),"['edm', 'electropop', 'pop', 'pop dance', 'tropical house']",71,68,0.681,0.181,0.521,94.997,-5.849,0.141,8.41e-05,0.108,0.12
23,Cold Water (feat. Justin Bieber & MØ),Major Lazer,Cold Water (feat. Justin Bieber & MØ),"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",0,79,0.608,0.501,0.798,92.943,-5.092,0.0432,0.0,0.156,0.0736
24,"Sit Still, Look Pretty",Daya,"Sit Still, Look Pretty","['alt z', 'dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",1,75,0.657,0.543,0.739,181.994,-4.081,0.274,0.0,0.178,0.141
25,This Is What You Came For (feat. Rihanna),Calvin Harris,This Is What You Came For (feat. Rihanna),"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']",79,87,0.631,0.465,0.927,123.962,-2.787,0.0332,0.119,0.148,0.199
26,Roses,The Chainsmokers,Roses,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",73,86,0.713,0.343,0.802,100.001,-7.055,0.0561,0.00377,0.309,0.0435
27,Starving,Hailee Steinfeld,HAIZ,"['dance pop', 'pop', 'post-teen pop']",0,76,0.695,0.532,0.615,99.817,-4.194,0.104,0.0,0.104,0.379
28,In the Name of Love,Martin Garrix,In the Name of Love,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",76,82,0.501,0.168,0.519,133.99,-5.88,0.0409,0.0,0.454,0.109
29,Hymn for the Weekend,Coldplay,A Head Full of Dreams,"['permanent wave', 'pop']",82,92,0.491,0.412,0.693,90.027,-6.487,0.0377,6.92e-06,0.325,0.211
30,Side To Side,Ariana Grande,Dangerous Woman,"['dance pop', 'pop']",0,93,0.648,0.603,0.738,159.145,-5.883,0.247,0.0,0.292,0.0408
