Rank,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
19,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']",75,77,0.774,0.349,0.554,99.034,-7.909,0.0383,0.0,0.132,0.207
20,"['rap', 'trap']",56,79,0.8,0.462,0.658,140.042,-6.142,0.079,0.0,0.111,0.25
21,"['chicago rap', 'melodic rap']",63,95,0.625,0.532,0.811,144.994,-5.183,0.0659,0.0,0.16,0.0173
22,"['canadian pop', 'dance pop', 'pop', 'viral pop']",73,90,0.652,0.549,0.383,145.765,-7.076,0.0516,0.0,0.0828,0.0676
23,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",72,91,0.795,0.537,0.574,142.053,-6.903,0.487,0.0,0.15,0.067
24,"['dance pop', 'pop', 'uk pop']",79,94,0.794,0.677,0.793,123.941,-4.521,0.0842,0.0,0.0952,0.0125
25,"['alternative r&b', 'melodic rap', 'pop', 'pop rap']",3,72,0.784,0.236,0.43,127.087,-8.756,0.0364,0.0,0.0887,0.123
26,"['dance pop', 'pop']",82,93,0.597,0.537,0.45,178.765,-6.658,0.0418,0.0,0.382,0.223
27,"['latin', 'reggaeton', 'trap latino']",81,100,0.731,0.145,0.573,109.928,-10.059,0.0544,5.22e-05,0.113,0.401
28,"['dfw rap', 'melodic rap', 'rap']",84,91,0.695,0.553,0.762,120.042,-3.497,0.0395,0.00244,0.0863,0.192
29,"['dance pop', 'houston rap', 'pop', 'trap queen']",68,87,0.822,0.636,0.743,84.459,-4.772,0.28,0.0,0.127,0.016
30,['pop'],83,85,0.667,0.0823,0.373,124.148,-9.389,0.05,0.0,0.0906,0.785
31,"['dance pop', 'pop', 'post-teen pop']",62,87,0.705,0.259,0.814,110.0,-5.466,0.0346,0.00312,0.203,0.00115
32,"['canadian pop', 'pop']",69,96,0.687,0.494,0.514,145.921,-6.612,0.0897,0.0,0.116,0.366
33,"['pop', 'uk pop']",81,82,0.459,0.183,0.575,111.881,-4.858,0.0573,0.0,0.0885,0.604
34,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']",73,87,0.591,0.324,0.585,110.94,-6.35,0.0277,0.0,0.109,0.143
35,['pop'],84,93,0.676,0.569,0.771,99.048,-3.675,0.0483,7e-06,0.102,0.0237
36,"['k-pop', 'k-pop girl group']",1,84,0.828,0.351,0.782,130.013,-4.014,0.0918,3.41e-05,0.0544,0.0694
37,['melodic rap'],71,65,0.728,0.629,0.431,130.022,-9.966,0.0622,0.0,0.0996,0.749
38,"['pop rap', 'rhode island rap', 'social media pop']",78,72,0.621,0.457,0.601,116.735,-5.616,0.148,0.0,0.46,0.0522
39,['brooklyn drill'],80,88,0.823,0.347,0.586,125.971,-6.606,0.2,0.0,0.193,0.114
40,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",74,82,0.8,0.45,0.56,163.071,-4.818,0.261,0.0,0.134,0.057
41,"['pop', 'pop rock']",32,90,0.764,0.575,0.32,91.019,-7.209,0.0546,0.0,0.0822,0.837
42,"['art pop', 'electropop', 'pop']",75,93,0.889,0.716,0.34,94.009,-7.773,0.0697,0.13,0.055,0.218
43,"['melodic rap', 'philly rap', 'rap', 'trap']",64,90,0.712,0.504,0.598,130.007,-5.368,0.0388,0.0,0.154,0.0546
44,"['bedroom soul', 'pop']",77,77,0.878,0.694,0.525,112.022,-6.832,0.0578,0.0,0.0714,0.183
45,"['dance pop', 'pop']",81,93,0.83,0.485,0.585,109.978,-6.476,0.094,0.0,0.248,0.237
46,"['dance pop', 'pop', 'post-teen pop']",64,87,0.781,0.595,0.67,127.99,-3.912,0.0452,0.0,0.0761,0.0103
47,"['dance pop', 'pop', 'uk pop']",79,94,0.702,0.915,0.825,102.977,-3.787,0.0601,0.0,0.0674,0.00883
48,[],76,64,0.716,0.28,0.537,129.979,-7.648,0.0514,0.0,0.157,0.233
49,"['deep underground hip hop', 'kentucky hip hop', 'rap']",76,91,0.904,0.835,0.723,145.013,-5.224,0.26,0.0,0.185,0.0631
50,"['dance pop', 'edm', 'electro house', 'german dance', 'pop dance', 'pop edm', 'tropical house']",78,80,0.789,0.664,0.72,122.031,-5.652,0.218,0.0,0.129,0.223
51,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",81,82,0.734,0.905,0.874,122.953,-3.158,0.0662,1.14e-05,0.0489,0.168
52,['nz pop'],77,70,0.767,0.761,0.481,150.076,-8.52,0.0803,0.0,0.269,0.234
53,"['bedroom pop', 'indie pop']",77,66,0.399,0.151,0.491,91.066,-10.778,0.0538,0.00089,0.11,0.0563
54,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",80,98,0.761,0.522,0.518,133.976,-8.871,0.134,3.47e-05,0.107,0.244
55,"['detroit hip hop', 'hip hop', 'rap']",83,95,0.808,0.829,0.745,165.995,-5.26,0.342,0.0,0.292,0.145
56,"['canadian pop', 'pop']",75,96,0.673,0.372,0.704,86.919,-8.056,0.36,0.0,0.0898,0.196
57,"['canadian contemporary r&b', 'canadian pop', 'pop']",78,97,0.667,0.717,0.719,100.021,-5.371,0.0346,8.1e-05,0.0736,0.00285
58,"['alt z', 'nz pop', 'pop']",63,72,0.862,0.841,0.631,128.978,-4.746,0.0515,0.000209,0.123,0.291
59,"['dance pop', 'pop', 'post-teen pop']",64,86,0.838,0.631,0.545,114.998,-6.713,0.0706,8.01e-05,0.103,0.208
60,"['ohio hip hop', 'pop rap']",1,89,0.728,0.33,0.685,124.934,-5.096,0.0433,0.0,0.152,0.00391
61,"['k-pop', 'k-pop boy group']",17,96,0.591,0.386,0.848,105.922,-4.397,0.0828,0.0,0.372,0.137
62,"['dance pop', 'pop', 'pop rap']",69,84,0.894,0.428,0.635,105.013,-6.929,0.0473,0.00105,0.0823,0.193
63,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",77,91,0.803,0.574,0.715,101.085,-3.28,0.298,0.000134,0.0574,0.295
64,"['art pop', 'electropop', 'pop']",81,93,0.704,0.243,0.225,120.006,-14.454,0.0994,0.657,0.106,0.902
65,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",76,86,0.63,0.452,0.633,93.995,-7.088,0.0457,0.0,0.0541,0.00776
66,"['pop', 'uk pop']",84,82,0.501,0.446,0.405,109.891,-5.679,0.0319,0.0,0.105,0.751
67,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']",80,77,0.88,0.884,0.751,117.948,-4.258,0.0874,6.43e-05,0.106,0.177
68,"['canadian pop', 'pop']",75,96,0.631,0.0927,0.239,79.859,-7.071,0.0398,0.0,0.116,0.864
