Rank,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
1,"['dance pop', 'pop']",77,92,0.635,0.424,0.841,109.021,-5.379,0.0422,0.0,0.0622,0.0134
2,"['detroit hip hop', 'hip hop', 'rap']",81,95,0.749,0.641,0.925,86.989,-5.034,0.227,0.0,0.52,0.241
3,"['art pop', 'dance pop', 'pop']",80,88,0.696,0.714,0.921,119.001,-3.755,0.0363,5.24e-05,0.0842,0.00314
4,"['belgian pop', 'g-house']",77,80,0.791,0.714,0.59,119.951,-9.206,0.0793,0.00203,0.065,0.0994
5,"['dance pop', 'electropop', 'pop', 'post-teen pop']",80,82,0.755,0.714,0.837,120.028,-2.718,0.142,0.0,0.289,0.0991
6,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",75,91,0.546,0.375,0.916,129.983,-3.932,0.255,4.34e-06,0.251,0.00144
7,"['dance pop', 'pop', 'pop rap']",79,74,0.751,0.816,0.783,119.975,-3.724,0.0859,0.0,0.036,0.00379
8,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",72,92,0.789,0.611,0.716,125.906,-4.241,0.0432,1.07e-05,0.069,0.129
9,"['dance pop', 'pop', 'post-teen pop']",72,88,0.791,0.425,0.754,125.014,-3.729,0.0569,0.0,0.163,0.00446
10,"['dance pop', 'miami hip hop', 'pop', 'post-teen pop', 'urban contemporary']",74,75,0.72,0.828,0.607,121.223,-4.168,0.0322,0.0,0.113,0.0543
11,"['dance pop', 'edm', 'pop', 'pop rap', 'pop rock']",75,75,0.768,0.625,0.82,129.965,-4.63,0.0474,0.0,0.689,0.179
12,"['dance pop', 'pop rap', 'post-teen pop', 'urban contemporary']",3,70,0.657,0.683,0.695,65.997,-4.493,0.0321,0.0,0.0822,0.0108
13,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",78,83,0.663,0.654,0.861,119.963,-3.398,0.109,0.0,0.082,0.0338
14,"['dance pop', 'pop']",76,92,0.498,0.0784,0.59,145.867,-4.721,0.032,0.0,0.107,0.511
15,"['dance pop', 'pop rap']",75,69,0.706,0.195,0.751,91.031,-6.323,0.0708,0.0,0.168,0.173
16,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'pop rock', 'rap', 'southern hip hop']",74,77,0.66,0.377,0.867,93.033,-4.285,0.116,0.0,0.0368,0.11
17,"['canadian pop', 'pop']",81,96,0.728,0.535,0.859,65.043,-5.237,0.137,0.0,0.111,0.0401
18,"['pop', 'pop rock']",67,90,0.703,0.726,0.81,102.978,-4.874,0.0424,0.0,0.216,0.000315
19,"['dance pop', 'pop', 'post-teen pop']",68,88,0.719,0.591,0.798,120.011,-4.582,0.0361,2.34e-06,0.134,0.0162
20,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",75,83,0.616,0.473,0.869,127.966,-3.911,0.0327,0.0,0.064,0.0283
21,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",66,85,0.442,0.578,0.83,89.338,-4.02,0.146,0.0,0.129,0.128
22,"['dance pop', 'pop', 'pop rap']",74,74,0.607,0.568,0.934,122.01,-4.217,0.0314,0.0,0.0909,0.0327
23,['pop'],63,98,0.621,0.672,0.78,121.038,-2.934,0.0297,4.55e-06,0.184,0.00327
24,"['dance pop', 'pop rap']",71,67,0.633,0.659,0.673,86.776,-6.403,0.258,0.0,0.206,0.297
25,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'pop rock', 'rap', 'southern hip hop']",74,77,0.688,0.743,0.853,103.993,-5.814,0.0493,0.0,0.0862,0.386
26,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",66,92,0.692,0.583,0.786,100.025,-2.959,0.069,0.0,0.0797,0.23
27,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",70,85,0.615,0.711,0.711,144.036,-5.507,0.0779,0.0,0.145,0.0444
28,"['asian american hip hop', 'dance pop', 'pop rap']",73,70,0.435,0.778,0.837,124.913,-8.126,0.449,0.0,0.117,0.00676
29,"['dance pop', 'electropop', 'pop', 'post-teen pop']",69,82,0.826,0.756,0.612,120.057,-3.891,0.0982,0.0,0.0889,0.00681
30,"['dance pop', 'neo mellow', 'pop', 'pop rock']",81,77,0.673,0.795,0.886,97.012,-4.44,0.0431,0.0,0.0826,0.185
31,"['indietronica', 'modern rock', 'pop', 'pop rock']",78,74,0.512,0.472,0.662,180.114,-6.797,0.0439,0.0,0.118,0.0275
32,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",72,83,0.781,0.326,0.745,129.998,-5.81,0.0332,1.14e-05,0.36,0.198
33,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']",72,79,0.531,0.103,0.752,89.917,-6.161,0.0305,0.0,0.12,0.0421
34,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",65,85,0.762,0.851,0.748,110.009,-4.15,0.033,0.0,0.348,0.0266
35,['atl hip hop'],57,69,0.696,0.772,0.875,127.39,-3.682,0.0649,0.0,0.159,0.134
36,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",67,92,0.567,0.751,0.707,171.917,-5.455,0.0818,0.000176,0.1,0.541
37,"['bubblegum dance', 'dance pop', 'electropop', 'europop', 'girl group', 'pop', 'post-teen pop', 'uk pop']",61,62,0.639,0.596,0.862,117.011,-3.292,0.0341,6.81e-06,0.264,0.049
38,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'urban contemporary']",68,81,0.652,0.394,0.605,126.091,-7.371,0.0393,0.0,0.0605,0.00481
39,"['dance pop', 'pop rap', 'post-teen pop', 'urban contemporary']",2,70,0.855,0.803,0.668,125.846,-4.892,0.0644,0.0,0.102,0.0242
40,"['art pop', 'dance pop', 'pop']",69,88,0.824,0.716,0.836,122.014,-5.903,0.0404,0.000817,0.112,0.00521
41,['pop'],65,98,0.529,0.286,0.67,141.893,-4.663,0.0303,0.0,0.334,0.117
42,"['modern alternative rock', 'modern rock', 'pop rock', 'rock']",64,71,0.482,0.739,0.829,147.99,-5.576,0.0437,0.0,0.378,0.00034
43,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",18,71,0.689,0.783,0.615,134.036,-5.022,0.0563,0.0,0.0789,0.352
44,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",74,92,0.563,0.812,0.75,173.906,-4.496,0.127,0.0,0.0788,0.113
45,"['dance pop', 'modern rock', 'pop rock']",52,62,0.458,0.553,0.905,176.667,-4.157,0.0451,0.0,0.378,0.000431
46,"['barbadian pop', 'dance pop', 'post-teen pop', 'urban contemporary']",34,61,0.599,0.539,0.624,90.034,-3.631,0.0343,0.0,0.125,0.385
47,"['dancefloor dnb', 'drum and bass', 'house', 'pop dance', 'uk dance']",63,64,0.451,0.295,0.948,176.985,-0.74,0.147,0.0,0.392,0.255
48,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'pop rock', 'rap', 'southern hip hop']",65,77,0.549,0.787,0.932,82.439,-4.11,0.343,0.0,0.347,0.0127
49,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",63,81,0.648,0.73,0.942,129.007,-2.881,0.0878,0.0,0.0594,0.021
50,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",0,76,0.845,0.329,0.601,74.008,-5.283,0.161,0.0,0.385,0.0205
51,"['francoton', 'french pop', 'reggaeton']",0,71,0.622,0.773,0.942,130.003,-6.365,0.112,0.0,0.0715,0.00713
52,"['dance pop', 'pop', 'pop rap']",61,84,0.597,0.412,0.517,92.035,-6.963,0.365,0.0,0.307,0.179
53,"['dance pop', 'electropop', 'pop', 'post-teen pop']",68,82,0.729,0.74,0.675,125.036,-5.292,0.0286,0.00126,0.0867,4.14e-05
54,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",57,71,0.76,0.361,0.595,131.497,-6.366,0.0391,0.0,0.241,0.00544
55,"['dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",70,68,0.733,0.557,0.664,148.005,-6.163,0.295,0.0,0.191,0.102
56,"['detroit hip hop', 'hip hop', 'rap']",78,95,0.855,0.668,0.954,114.635,-1.19,0.264,0.0,0.205,0.529
57,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",64,63,0.606,0.362,0.497,130.739,-6.611,0.0277,0.0,0.275,0.348
58,"['dance pop', 'electropowerpop', 'modern rock', 'pop', 'pop punk', 'pop rap']",62,68,0.682,0.827,0.889,138.021,-4.166,0.0804,0.0,0.36,0.00564
59,"['celtic rock', 'dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rock']",66,78,0.388,0.381,0.633,173.947,-4.769,0.0275,0.0,0.104,0.0339
60,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",55,98,0.625,0.738,0.613,96.033,-6.005,0.173,0.0,0.0286,0.0209
61,"['dance pop', 'hip house', 'house', 'pop dance', 'tropical house', 'uk dance']",62,64,0.61,0.657,0.836,126.056,-4.455,0.0573,0.0,0.358,0.00374
62,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",68,90,0.692,0.217,0.736,73.987,-5.109,0.11,0.0,0.0787,0.0324
63,['reggae fusion'],57,68,0.625,0.717,0.699,75.974,-6.416,0.0729,0.0,0.238,0.13
64,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",67,65,0.702,0.836,0.795,83.961,-4.764,0.0568,0.0,0.0505,0.329
65,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'urban contemporary']",69,81,0.531,0.272,0.574,115.68,-6.693,0.113,0.0308,0.256,0.114
66,"['edm', 'pop dance', 'progressive electro house']",0,54,0.515,0.52,0.837,126.026,-2.552,0.0401,0.0,0.0403,0.0868
67,"['glee club', 'hollywood', 'post-teen pop']",60,76,0.473,0.271,0.604,123.848,-4.034,0.0337,0.0,0.103,0.0376
68,"['dance pop', 'electropowerpop', 'modern rock', 'pop', 'pop punk', 'pop rap']",31,68,0.605,0.263,0.795,139.896,-6.086,0.0712,0.0,0.207,0.00153
69,"['art pop', 'dance pop', 'pop']",67,88,0.623,0.36,0.793,98.998,-6.63,0.0462,0.0015,0.375,0.000397
70,"['dance pop', 'idol', 'pop', 'post-teen pop']",56,66,0.438,0.457,0.672,185.934,-4.706,0.0429,0.0,0.0583,0.0055
71,['pop'],50,98,0.491,0.344,0.703,157.988,-4.5,0.0319,5.72e-06,0.167,0.0307
72,"['dance pop', 'pop', 'post-teen pop']",0,87,0.63,0.743,0.91,116.98,-2.919,0.144,0.0,0.196,0.0287
73,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",50,82,0.544,0.277,0.781,150.1,-3.616,0.189,0.0,0.161,0.014
74,"['dance pop', 'edm', 'grime', 'house', 'pop dance', 'pop rap', 'tropical house']",57,68,0.656,0.534,0.931,91.881,-4.188,0.0981,0.0,0.219,0.0613
75,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",71,83,0.484,0.142,0.368,92.923,-7.784,0.0341,3.82e-05,0.118,0.74
76,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow']",72,73,0.581,0.316,0.717,107.884,-4.433,0.0318,0.000186,0.243,0.0298
77,['pop rap'],65,54,0.846,0.512,0.438,85.013,-4.981,0.141,9.43e-05,0.0939,0.2
78,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",54,76,0.724,0.81,0.87,93.01,-3.614,0.113,0.0,0.833,0.00453
79,['talent show'],46,40,0.443,0.447,0.683,81.986,-5.521,0.0343,5.26e-06,0.313,0.0198
80,"['east coast hip hop', 'hip hop', 'rap']",65,88,0.637,0.103,0.69,140.329,-3.214,0.0693,0.0,0.211,0.417
81,"['idol', 'indiecoustica', 'neo mellow', 'post-teen pop']",51,48,0.589,0.94,0.893,92.011,-2.948,0.0397,0.0,0.343,0.0273
82,"['dance pop', 'electropop', 'pop', 'post-teen pop']",60,82,0.752,0.519,0.836,120.003,-3.173,0.115,0.000425,0.424,0.0843
83,"['neo mellow', 'pop rock', 'singer-songwriter']",62,82,0.681,0.731,0.593,115.058,-9.327,0.0251,0.000117,0.106,0.435
84,"['atl hip hop', 'dance pop', 'hip pop', 'pop', 'pop r&b', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",59,71,0.395,0.567,0.876,124.638,-3.859,0.138,8.46e-06,0.362,0.0173
85,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",57,98,0.325,0.433,0.848,100.093,-5.611,0.279,0.0,0.124,0.0109
86,"['art pop', 'dance pop', 'electropop', 'europop', 'pop', 'scandipop', 'swedish electropop', 'swedish pop']",0,66,0.687,0.261,0.865,117.015,-4.663,0.0349,0.225,0.0966,0.0743
87,"['dance pop', 'edm', 'grime', 'house', 'pop dance', 'pop rap', 'tropical house']",53,68,0.693,0.532,0.891,91.1,-3.261,0.296,0.0,0.143,0.0281
88,"['dance pop', 'pop', 'pop rap']",69,84,0.816,0.436,0.813,127.979,-7.798,0.0664,2.77e-06,0.602,0.0662
89,"['acoustic pop', 'dance pop', 'hollywood', 'lilith', 'neo mellow', 'pop', 'pop rock']",60,71,0.676,0.81,0.762,119.003,-4.172,0.0351,0.0,0.0574,0.461
90,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",60,83,0.59,0.352,0.698,95.975,-4.262,0.0286,0.0,0.107,0.000176
91,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie', 'pop rock', 'rock']",0,72,0.55,0.841,0.753,139.048,-4.003,0.0407,7.74e-06,0.0921,0.000665
92,"['edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']",54,81,0.736,0.658,0.929,125.03,-5.89,0.0674,1.11e-05,0.402,0.00237
93,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",68,81,0.624,0.757,0.723,84.789,-6.782,0.378,0.0,0.483,0.172
94,"['boy band', 'dance pop', 'europop']",57,67,0.514,0.138,0.83,100.631,-6.077,0.044,1.43e-06,0.122,0.0378
95,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",62,91,0.615,0.45,0.913,129.944,-5.077,0.0816,0.0,0.0773,0.178
