,track_name,artist_name,album_name,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
1,Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,"['dance pop', 'pop']",81,80,0.856,0.928,0.609,114.988,-7.223,0.0824,8.15e-05,0.0344,0.00801
2,Thinking out Loud,Ed Sheeran,x (Deluxe Edition),"['pop', 'uk pop']",81,96,0.781,0.591,0.445,78.998,-6.061,0.0295,0.0,0.184,0.474
3,See You Again (feat. Charlie Puth),Wiz Khalifa,See You Again (feat. Charlie Puth),"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,88,0.689,0.283,0.481,80.025,-7.503,0.0815,1.03e-06,0.0649,0.369
4,What Do You Mean?,Justin Bieber,Purpose (Deluxe),"['canadian pop', 'pop']",77,96,0.845,0.793,0.567,125.02,-8.118,0.0956,0.00142,0.0811,0.59
5,Lean On (feat. MØ & DJ Snake),Major Lazer,Peace Is The Mission : Extended,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",73,79,0.723,0.274,0.809,98.007,-3.081,0.0625,0.00123,0.565,0.00346
6,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]","['canadian contemporary r&b', 'canadian pop', 'pop']",75,97,0.659,0.426,0.381,119.844,-5.922,0.0304,0.0,0.0972,0.385
7,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Delirium (Deluxe),"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",78,81,0.262,0.275,0.606,189.857,-6.646,0.0484,0.0,0.125,0.247
8,Wildest Dreams,Taylor Swift,1989,['pop'],78,98,0.553,0.467,0.664,140.06,-7.417,0.0741,0.0056,0.106,0.0709
9,Like I Can,Sam Smith,In The Lonely Hour,"['dance pop', 'pop', 'uk pop']",79,86,0.656,0.481,0.627,99.933,-6.627,0.0379,2.17e-05,0.124,0.343
10,One Last Time,Ariana Grande,My Everything (Deluxe),"['dance pop', 'pop']",78,93,0.628,0.104,0.593,125.026,-5.036,0.0323,1.65e-06,0.096,0.093
11,Blank Space,Taylor Swift,1989 (Deluxe),['pop'],82,98,0.76,0.57,0.703,95.997,-5.412,0.054,0.0,0.0913,0.103
12,Perfect,One Direction,Made In The A.M. (Deluxe Edition),"['boy band', 'pop', 'post-teen pop', 'talent show']",76,89,0.647,0.396,0.823,99.933,-5.231,0.0762,0.0,0.119,0.0598
13,Locked Away (feat. Adam Levine),R. City,What Dreams Are Made Of,"['reggae fusion', 'virgin islands reggae']",76,67,0.509,0.55,0.671,118.413,-5.709,0.0678,0.0,0.0452,0.304
14,Stitches,Shawn Mendes,Handwritten,"['canadian pop', 'dance pop', 'pop', 'viral pop']",78,90,0.746,0.746,0.754,149.882,-6.684,0.0676,0.0,0.0486,0.0152
15,Black Magic,Little Mix,Get Weird (Deluxe),"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",1,84,0.777,0.843,0.896,111.987,-4.467,0.0619,0.0,0.317,0.0352
16,Time of Our Lives,Pitbull,Globalization,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",80,87,0.721,0.724,0.802,124.022,-5.797,0.0583,0.0,0.694,0.0921
17,Cool for the Summer,Demi Lovato,Cool for the Summer,"['dance pop', 'pop', 'post-teen pop']",0,85,0.586,0.319,0.613,114.101,-5.593,0.0386,0.000183,0.0853,0.00441
18,Drag Me Down,One Direction,Made In The A.M. (Deluxe Edition),"['boy band', 'pop', 'post-teen pop', 'talent show']",79,89,0.73,0.595,0.703,138.113,-5.672,0.0369,0.0,0.0657,0.109
19,Bad Blood,Taylor Swift,Bad Blood,['pop'],70,98,0.654,0.221,0.655,170.16,-7.388,0.106,0.0,0.139,0.0294
20,The Nights,Avicii,The Days / Nights,"['dance pop', 'edm', 'pop', 'pop dance']",84,85,0.527,0.654,0.835,125.983,-5.298,0.0433,0.0,0.249,0.0166
21,Lush Life,Zara Larsson,Lush Life,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",0,79,0.658,0.789,0.741,98.024,-2.86,0.0536,0.0,0.189,0.141
22,YOUTH,Troye Sivan,YOUTH,"['australian pop', 'dance pop', 'electropop', 'pop', 'viral pop']",0,83,0.627,0.608,0.749,91.522,-4.453,0.0415,0.0,0.0763,0.0526
23,Outside (feat. Ellie Goulding),Calvin Harris,Motion,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']",78,87,0.646,0.418,0.823,128.035,-4.123,0.0394,0.0,0.322,0.213
24,Style,Taylor Swift,1989 (Deluxe),['pop'],77,98,0.588,0.487,0.791,94.933,-5.595,0.0402,0.00258,0.118,0.00245
25,Dear Future Husband,Meghan Trainor,Title (Deluxe),"['dance pop', 'hip pop', 'pop', 'post-teen pop']",72,80,0.655,0.832,0.782,79.427,-4.789,0.185,0.0,0.317,0.375
26,Never Forget You,Zara Larsson,So Good,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",73,79,0.583,0.276,0.732,145.992,-5.728,0.0457,9.86e-06,0.269,0.00312
27,Love Yourself,Justin Bieber,Purpose (Deluxe),"['canadian pop', 'pop']",0,96,0.609,0.515,0.378,100.418,-9.828,0.438,0.0,0.28,0.835
28,Love Me Harder,Ariana Grande,My Everything (Deluxe),"['dance pop', 'pop']",74,93,0.472,0.24,0.714,98.992,-4.389,0.0334,0.0,0.0764,0.00937
29,Waiting For Love,Avicii,Stories,"['dance pop', 'edm', 'pop', 'pop dance']",79,85,0.579,0.613,0.736,127.999,-3.863,0.0527,0.0,0.198,0.31
30,Shut Up and Dance,WALK THE MOON,TALKING IS HARD,"['dance pop', 'dance rock', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",81,73,0.578,0.619,0.866,128.038,-3.804,0.0619,0.0,0.257,0.00701
31,Love Myself,Hailee Steinfeld,HAIZ,"['dance pop', 'pop', 'post-teen pop']",0,76,0.616,0.343,0.765,122.916,-6.75,0.078,0.0,0.149,0.0029
32,Electric Love,BØRNS,Electric Love,"['modern rock', 'pop']",0,73,0.373,0.605,0.858,120.063,-6.536,0.0889,0.0016,0.256,0.00407
33,I Really Like You,Carly Rae Jepsen,Emotion (Deluxe),"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",45,75,0.622,0.599,0.808,122.121,-4.701,0.0418,5.63e-05,0.215,0.00543
34,Do It Again,Pia Mia,Do It Again,"['dance pop', 'pop', 'pop r&b', 'post-teen pop', 'r&b', 'social media pop', 'urban contemporary']",72,67,0.712,0.411,0.564,95.95,-6.527,0.047,0.0,0.0874,0.0266
35,Same Old Love,Selena Gomez,Revival (Deluxe),"['dance pop', 'pop', 'post-teen pop']",69,86,0.672,0.438,0.593,98.02,-4.01,0.0304,0.0,0.214,0.0223
36,Sorry,Justin Bieber,Purpose (Deluxe),"['canadian pop', 'pop']",80,96,0.654,0.41,0.76,99.945,-3.669,0.045,0.0,0.299,0.0797
37,The Hills,The Weeknd,Beauty Behind The Madness,"['canadian contemporary r&b', 'canadian pop', 'pop']",83,97,0.585,0.137,0.564,113.003,-7.063,0.0515,0.0,0.135,0.0671
38,Send My Love (To Your New Lover),Adele,25,"['british soul', 'pop', 'pop soul', 'uk pop']",1,90,0.688,0.565,0.532,164.068,-8.361,0.0875,3.08e-06,0.172,0.0356
39,Talking Body,Tove Lo,Queen Of The Clouds,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",66,79,0.736,0.114,0.761,119.999,-5.449,0.0338,0.0,0.0823,0.0966
40,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Title (Deluxe),"['dance pop', 'hip pop', 'pop', 'post-teen pop']",77,80,0.63,0.417,0.53,108.038,-7.259,0.0434,0.0,0.177,0.4
41,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,Listen,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",75,91,0.596,0.525,0.73,85.979,-4.091,0.151,0.0,0.325,0.24
42,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,"Flashlight (From ""Pitch Perfect 2"" Soundtrack)","['dance pop', 'pop', 'pop rap', 'post-teen pop']",0,76,0.458,0.417,0.623,147.635,-7.109,0.0505,5.08e-06,0.11,0.322
43,Fight Song,Rachel Platten,Wildfire,"['dance pop', 'neo mellow', 'pop', 'pop rock']",76,67,0.564,0.33,0.714,175.924,-4.987,0.129,0.0,0.155,0.0549
44,Daddy Issues,The Neighbourhood,Wiped Out!,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",85,89,0.588,0.337,0.521,85.012,-9.461,0.0329,0.149,0.123,0.0678
45,Worth It (feat. Kid Ink),Fifth Harmony,Reflection (Deluxe),"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show']",73,73,0.884,0.594,0.765,99.987,-3.865,0.0882,7.04e-06,0.118,0.063
46,When We Were Young,Adele,25,"['british soul', 'pop', 'pop soul', 'uk pop']",2,90,0.377,0.264,0.595,144.464,-5.936,0.0489,0.0,0.095,0.303
47,Lips Are Movin,Meghan Trainor,Title (Deluxe),"['dance pop', 'hip pop', 'pop', 'post-teen pop']",70,80,0.775,0.95,0.825,139.091,-5.402,0.0464,1.03e-06,0.111,0.0506
