,track_name,artist_name,album_name,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
46,Ransom,Lil Tecca,We Love You Tecca,"['melodic rap', 'pluggnb', 'rap', 'trap']",78,82,0.745,0.226,0.642,179.974,-6.257,0.287,0.0,0.0658,0.0204
47,Location (feat. Burna Boy),Dave,PSYCHODRAMA,['uk hip hop'],78,84,0.812,0.55,0.496,109.979,-5.969,0.297,0.0,0.0955,0.271
48,3 Nights,Dominic Fike,"Don't Forget About Me, Demos","['alternative pop rock', 'pop']",78,79,0.815,0.877,0.518,151.891,-6.594,0.0897,0.0,0.104,0.223
49,Mad Love,Mabel,High Expectations,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",0,76,0.631,0.62,0.803,198.065,-2.974,0.155,0.0,0.11,0.675
50,Here With Me,Marshmello,Here With Me,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",72,86,0.791,0.181,0.565,99.961,-3.933,0.0439,0.0,0.156,0.0623
51,Goodbyes (Feat. Young Thug),Post Malone,Goodbyes (Feat. Young Thug),"['dfw rap', 'melodic rap', 'rap']",1,91,0.58,0.175,0.653,150.231,-3.818,0.0745,0.0,0.111,0.447
52,Grace,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,"['pop', 'uk pop']",66,82,0.722,0.488,0.565,104.483,-5.848,0.0335,0.0,0.165,0.435
53,Panini,Lil Nas X,Panini,"['lgbtq+ hip hop', 'pop']",71,89,0.703,0.475,0.594,153.848,-6.146,0.0752,0.0,0.123,0.342
54,SOS (feat. Aloe Blacc),Avicii,TIM,"['dance pop', 'edm', 'pop', 'pop dance']",71,85,0.802,0.376,0.645,100.001,-6.181,0.0715,0.0,0.119,0.272
55,What I Like About You (feat. Theresa Rex),Jonas Blue,What I Like About You (feat. Theresa Rex),"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",64,80,0.46,0.553,0.8,102.46,-3.584,0.05,6.16e-06,0.121,0.289
56,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,Carte Blanche,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",70,82,0.842,0.617,0.801,95.881,-4.167,0.228,4.82e-06,0.0642,0.157
57,Better Now,Post Malone,beerbongs & bentleys,"['dfw rap', 'melodic rap', 'rap']",79,91,0.68,0.341,0.578,145.038,-5.804,0.04,0.0,0.135,0.331
58,Good as Hell,Lizzo,Cuz I Love You (Super Deluxe),"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",72,78,0.682,0.535,0.919,95.982,-3.18,0.0875,0.0,0.442,0.256
59,Juicy,Doja Cat,Juicy,"['dance pop', 'pop']",57,94,0.786,0.458,0.658,170.037,-2.61,0.0661,0.0,0.0689,0.0856
60,Money,Cardi B,Money,"['dance pop', 'pop', 'pop rap', 'rap']",72,86,0.95,0.219,0.59,130.003,-6.508,0.29,0.0,0.11,0.00534
61,Antisocial (with Travis Scott),Ed Sheeran,No.6 Collaborations Project,"['pop', 'uk pop']",63,96,0.716,0.91,0.823,151.957,-5.313,0.0495,0.0,0.361,0.132
62,Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,"['pop', 'uk pop']",78,82,0.736,0.361,0.308,111.202,-7.83,0.0677,0.0,0.186,0.946
63,Don’t Feel Like Crying,Sigrid,Don't Feel Like Crying,"['dance pop', 'norwegian pop', 'pop']",51,69,0.749,0.715,0.814,119.964,-3.769,0.0404,0.0,0.0673,0.156
64,Robbery,Juice WRLD,Death Race For Love,"['chicago rap', 'melodic rap']",52,95,0.685,0.578,0.692,159.966,-5.122,0.0457,0.0,0.153,0.328
65,Just You and I,Tom Walker,What a Time To Be Alive,"['indie anthem-folk', 'modern rock', 'pop', 'uk pop']",67,71,0.567,0.544,0.696,92.061,-5.416,0.301,0.0,0.113,0.456
66,Wow.,Post Malone,Hollywood's Bleeding,"['dfw rap', 'melodic rap', 'rap']",78,91,0.829,0.388,0.539,99.96,-7.359,0.208,1.78e-06,0.103,0.136
67,Slide Away,Miley Cyrus,Slide Away,"['dance pop', 'pop', 'post-teen pop']",69,87,0.53,0.288,0.538,148.051,-6.672,0.0335,2.83e-06,0.248,0.17
68,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),"['dance pop', 'houston rap', 'pop', 'trap queen']",68,87,0.872,0.57,0.814,98.985,-4.568,0.155,1.96e-06,0.214,0.00485
69,Higher Love,Kygo,Higher Love,"['edm', 'pop', 'pop dance', 'tropical house']",75,85,0.693,0.404,0.678,103.952,-7.159,0.0324,5.71e-06,0.101,0.0151
70,when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","['art pop', 'electropop', 'pop']",80,93,0.367,0.198,0.111,82.642,-14.084,0.0972,3.97e-05,0.0897,0.978
71,Walk Me Home,P!nk,Walk Me Home,"['dance pop', 'pop']",66,84,0.652,0.432,0.453,88.039,-6.119,0.0445,0.0,0.179,0.0507
72,gone girl,iann dior,Industry Plant,"['melodic rap', 'pop rap']",69,83,0.677,0.355,0.714,94.956,-5.637,0.0287,0.0,0.0717,0.162
73,Truth Hurts,Lizzo,Cuz I Love You (Deluxe),"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",63,78,0.715,0.412,0.624,158.087,-3.046,0.114,0.0,0.123,0.11
74,Only Human,Jonas Brothers,Happiness Begins,"['boy band', 'dance pop', 'pop', 'post-teen pop']",70,80,0.795,0.874,0.496,94.01,-5.883,0.0722,0.0,0.0645,0.108
75,MIA (feat. Drake),Bad Bunny,MIA (feat. Drake),"['latin', 'reggaeton', 'trap latino']",77,100,0.817,0.158,0.539,97.062,-6.349,0.0621,0.000496,0.099,0.0141
76,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),"['pop', 'uk pop']",63,96,0.746,0.607,0.787,95.005,-6.373,0.12,0.0,0.0669,0.214
77,One Thing Right,Marshmello,One Thing Right,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",73,86,0.659,0.442,0.625,88.042,-2.253,0.045,0.0,0.582,0.0644
