,track_name,artist_name,album_name,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
1,Rolling in the Deep,Adele,21,"['british soul', 'pop', 'pop soul', 'uk pop']",2,90,0.73,0.507,0.77,104.948,-5.114,0.0298,0.0,0.0473,0.138
2,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,Hands All Over (Revised International Standard version),"['pop', 'pop rock']",76,90,0.722,0.624,0.761,128.044,-4.459,0.0475,0.0,0.315,0.0117
3,Party Rock Anthem,LMFAO,Sorry For Party Rocking,"['dance pop', 'pop rap']",72,72,0.751,0.352,0.736,130.014,-4.168,0.156,0.0,0.265,0.0206
4,Firework,Katy Perry,Teenage Dream,"['dance pop', 'pop', 'post-teen pop']",72,88,0.638,0.648,0.832,124.071,-5.039,0.049,0.0,0.113,0.141
5,Grenade,Bruno Mars,Doo-Wops & Hooligans,"['dance pop', 'pop']",77,92,0.704,0.245,0.558,110.444,-7.273,0.0542,0.0,0.107,0.148
6,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,The Papercut Chronicles II,"['dance pop', 'pop rap']",81,74,0.646,0.796,0.795,89.99,-3.293,0.0976,0.0,0.267,0.0319
7,On The Floor,Jennifer Lopez,Love?,"['dance pop', 'pop', 'pop rap', 'urban contemporary']",79,81,0.73,0.575,0.777,130.0,-5.194,0.0496,0.000478,0.0691,0.105
8,Love You Like A Love Song,Selena Gomez & The Scene,When The Sun Goes Down,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",79,73,0.858,0.922,0.678,117.009,-3.87,0.0469,0.0,0.0741,0.0761
9,Last Friday Night (T.G.I.F.),Katy Perry,Teenage Dream: The Complete Confection,"['dance pop', 'pop', 'post-teen pop']",74,88,0.649,0.765,0.815,126.03,-3.796,0.0415,4.31e-05,0.671,0.00125
10,Glad You Came,The Wanted,Battleground (Deluxe Edition),"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",77,71,0.722,0.452,0.851,126.885,-3.873,0.0639,0.0,0.108,0.0319
