,track_name,artist_name,album_name,artist_genres,track_popularity,artist_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo,prop_loudness,prop_speechiness,prop_instrumentalness,context_liveness,context_acousticness
1,God's Plan,Drake,Scorpion,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",81,98,0.754,0.357,0.449,77.169,-9.211,0.109,8.29e-05,0.552,0.0332
2,rockstar (feat. 21 Savage),Post Malone,beerbongs & bentleys,"['dfw rap', 'melodic rap', 'rap']",83,91,0.585,0.129,0.52,159.801,-6.136,0.0712,7.01e-05,0.131,0.124
3,I Like Me Better,Lauv,I met you when I was 18. (the playlist),"['dance pop', 'electropop', 'pop']",81,83,0.752,0.419,0.505,91.97,-7.621,0.253,2.55e-06,0.104,0.535
4,2002,Anne-Marie,Speak Your Mind (Deluxe),"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",80,82,0.697,0.603,0.683,96.133,-2.881,0.117,0.0,0.137,0.0372
5,Youngblood,5 Seconds of Summer,Youngblood,"['boy band', 'dance pop', 'pop', 'post-teen pop']",69,84,0.596,0.152,0.854,120.274,-5.114,0.463,0.0,0.124,0.0169
6,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,"['chicago rap', 'melodic rap']",83,95,0.511,0.218,0.566,83.903,-7.23,0.2,0.0,0.34,0.349
7,The Middle,Zedd,The Middle,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']",79,80,0.753,0.437,0.657,107.01,-3.061,0.0449,0.0,0.112,0.171
8,FRIENDS,Marshmello,FRIENDS,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",78,86,0.626,0.534,0.88,95.079,-2.384,0.0504,0.0,0.128,0.205
9,I Like It,Cardi B,Invasion of Privacy,"['dance pop', 'pop', 'pop rap', 'rap']",78,86,0.816,0.65,0.726,136.048,-3.998,0.129,0.0,0.372,0.099
10,Rewrite The Stars,Zac Efron,Rewrite The Stars,"['hollywood', 'post-teen pop', 'show tunes']",71,73,0.684,0.284,0.619,125.046,-7.005,0.0386,0.0,0.122,0.0716
11,no tears left to cry,Ariana Grande,Sweetener,"['dance pop', 'pop']",77,93,0.699,0.354,0.713,121.993,-5.507,0.0594,3.11e-06,0.294,0.04
12,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",80,91,0.698,0.552,0.633,96.924,-4.946,0.0597,0.000194,0.0926,0.0605
13,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']",80,87,0.791,0.592,0.862,123.994,-3.24,0.11,2.19e-05,0.0814,0.037
14,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)","['dance pop', 'pop', 'post-teen pop']",76,76,0.664,0.742,0.708,103.07,-4.154,0.0474,0.0,0.0841,0.0337
15,lovely (with Khalid),Billie Eilish,lovely (with Khalid),"['art pop', 'electropop', 'pop']",86,93,0.351,0.12,0.296,115.284,-10.109,0.0333,0.0,0.095,0.934
16,Back To You,Selena Gomez,13 Reasons Why (Season 2),"['dance pop', 'pop', 'post-teen pop']",68,86,0.6,0.494,0.683,102.036,-6.271,0.0493,1.26e-06,0.11,0.0984
17,Silence,Marshmello,Silence,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",79,86,0.52,0.286,0.761,141.971,-3.093,0.0853,4.96e-06,0.17,0.256
18,God is a woman,Ariana Grande,Sweetener,"['dance pop', 'pop']",78,93,0.602,0.268,0.658,145.031,-5.934,0.0558,6e-05,0.237,0.0233
19,IDGAF,Dua Lipa,Dua Lipa (Deluxe),"['dance pop', 'pop', 'uk pop']",78,94,0.836,0.51,0.544,97.028,-5.975,0.0943,0.0,0.0824,0.0403
20,Him & I (with Halsey),G-Eazy,The Beautiful & Damned,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",75,81,0.589,0.191,0.731,87.908,-6.343,0.0868,0.0,0.308,0.0534
21,Better Now,Post Malone,beerbongs & bentleys,"['dfw rap', 'melodic rap', 'rap']",79,91,0.68,0.341,0.578,145.038,-5.804,0.04,0.0,0.135,0.331
22,Eastside (with Halsey & Khalid),benny blanco,Eastside (with Halsey & Khalid),"['pop', 'pop rap']",75,77,0.56,0.319,0.68,89.391,-7.648,0.321,0.0,0.116,0.555
23,Freaky Friday (feat. Chris Brown),Lil Dicky,Freaky Friday (feat. Chris Brown),"['comedy rap', 'pop rap', 'rap']",69,67,0.755,0.755,0.599,133.123,-5.042,0.224,0.0,0.109,0.147
24,Never Be the Same,Camila Cabello,Camila,"['dance pop', 'pop', 'post-teen pop']",74,89,0.637,0.243,0.713,129.923,-4.333,0.0747,0.000637,0.137,0.181
25,This Feeling,The Chainsmokers,Sick Boy,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",72,86,0.575,0.449,0.571,105.049,-7.906,0.0439,0.0,0.0912,0.0558
26,Happier,Marshmello,Happier,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",81,86,0.687,0.671,0.792,100.015,-2.749,0.0452,0.0,0.167,0.191
27,Finesse - Remix; feat. Cardi B,Bruno Mars,Finesse (Remix) [feat. Cardi B],"['dance pop', 'pop']",73,92,0.704,0.926,0.859,105.115,-4.877,0.0996,0.0,0.0215,0.0185
